cluster,mean_drop,std_drop,significant
C5_hmm_vol,0.040807331262149076,0.051981911873490286,False
C15_f11_lowfreq_macro,0.00797090801776734,0.010659907816100034,False
C13_f11_lowfreq_macro,0.00471958240286856,0.006912980700021752,False
C9_f13,0.0023097384715186327,0.005306441593262829,False
C10_f7,0.0003034525455449799,0.00551890191208065,False
F5_signal,-0.00010849639989830425,0.0046434990666392355,False
C12_f11,-0.00011804675690871295,0.006403549869303407,False
C4_f2,-0.00011926659020168812,0.006245675012095989,False
C3_f2,-0.00024309071701546792,0.004310552661898396,False
F4_latent,-0.00029911298254545665,0.0037107858389725727,False
C8_f7,-0.000812223944446853,0.006127943712139352,False
C14_f11_lowfreq_macro,-0.0008298261251863919,0.005471204083018009,False
F_instrument,-0.0010484858310442853,0.001827915177381402,False
F8_calendar,-0.0019264515715293562,0.006176730219479173,False
C6_f11,-0.0023544260808194975,0.004104535156514384,False
C2_f1,-0.005226295420438565,0.01185437625176685,False
C11_f11,-0.005398214486406328,0.011420601660038441,False
C7_f12,-0.006017718552089176,0.007311986453600467,False
C1_f1,-0.00869460069183852,0.013817936017532784,False
