feature,cluster,mean_shap_mag,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained,pc3_loading,pca_pc3_var_explained
f2_vol_60,C2_f11,0.040237256801852264,-0.29796125237742527,0.5646524877175324,0.5040306552731734,0.13740853145494214,-0.08974835816174541,0.07665321852010314
f2_vol_pctile_20,C2_f11,0.00734511561049321,-0.3261297803454979,0.5646524877175324,-0.2910398966612481,0.13740853145494214,-0.3707188264669143,0.07665321852010314
f2_vol_of_vol_20,C2_f11,0.003512084533838634,-0.30060377630376534,0.5646524877175324,0.42773606227201544,0.13740853145494214,0.27853577841521276,0.07665321852010314
f11_move_vix_ratio,C2_f11,0.04489241266591109,0.3357201473165826,0.5646524877175324,-0.23874416432339,0.13740853145494214,0.31013843823441145,0.07665321852010314
f11_us_2s10s_slope,C2_f11,0.002829335386514979,0.3141385597718468,0.5646524877175324,0.4549181418745382,0.13740853145494214,0.32047993013784853,0.07665321852010314
f11_ust_bund_spread,C2_f11,0.0022017511448,0.3761314611341741,0.5646524877175324,-0.021032968765592033,0.13740853145494214,0.1495199840622219,0.07665321852010314
f11_ism_pmi_level,C2_f11,0.0,0.347949969830088,0.5646524877175324,0.31285881285333067,0.13740853145494214,-0.2078945793637709,0.07665321852010314
f12_mra_energy_D2,C2_f11,0.003749299253504625,0.27853009503108284,0.5646524877175324,-0.21323125132072757,0.13740853145494214,0.09345539413036984,0.07665321852010314
f12_mra_energy_D3,C2_f11,0.0033293811911125743,-0.31075878015501557,0.5646524877175324,-0.037915458400965,0.13740853145494214,0.4257322078402628,0.07665321852010314
f12_mra_energy_D5,C2_f11,0.002727148603344898,-0.2577027070762854,0.5646524877175324,-0.262894038050756,0.13740853145494214,0.5678724877239985,0.07665321852010314
