cluster,MDA_mean,MDA_std,MDI,SHAP_mag
F5_signal,0.055100854913124594,0.035234419528166604,0.08785380161416692,0.0
C3_f2,0.004406335653245382,0.022915578829835824,0.10713046111945307,0.0
F8_calendar,0.00033935633544260877,0.008511102345203591,0.019628038485085826,0.0
C11_f13,-2.865601991999256e-05,0.00670009155287605,0.021361070615198124,0.0
C8_f12,-0.0003504614686577553,0.0021813431609022994,0.008090922478732568,0.0
F4_latent,-0.0007470498334324153,0.00472213976254375,0.033032615831786176,0.0
C14_f1,-0.0008738976444403838,0.0033395367888687634,0.011529250809523255,0.0
C15_f11_lowfreq_macro,-0.0015700031661202891,0.012223990554692775,0.035579394097935806,0.0
C12_f7,-0.001786264802848477,0.005872650518567938,0.013837292179846946,0.0
C1_f1,-0.0032286178287666517,0.016148642378920993,0.14420046235103354,0.0
C13_f11_lowfreq_macro,-0.0043503222103138985,0.006042550422760232,0.03161805698539247,0.0
C9_f11,-0.004532314589351564,0.01949166846954494,0.08071788368119258,0.0
C4_f11,-0.007087679216349444,0.024948238663915587,0.08233994821408451,0.0
C5_f11,-0.008822039131191584,0.025885251225903908,0.05012464825744811,0.0
C2_f2,-0.009730499111028598,0.025409410230669133,0.06860650124673548,0.0
C10_f6,-0.010230124118335978,0.034300539932998655,0.08470894639323125,0.0
C7_f11,-0.010647839002932542,0.016781482911884797,0.052283441197146174,0.0
C6_f11,-0.02465539349073278,0.043073776498511775,0.06735726444200725,0.0
