feature,pfi_mean,mdi_mean,shap_magnitude
f1_mr_score_10,-0.0004859766133152236,0.0010430233139483026,0.0
f1_dist_ma_sigma_10,0.0005279435224431713,0.0041388837942346835,0.0
f1_ret_reversal_10,-5.646477708786494e-05,0.005704781103937361,0.0
f1_hilo_pos_10,-0.0008473995506698436,0.0017772209061111101,0.0
f1_mr_score_20,-0.0007217412001949548,0.006449549602231922,0.0
f1_dist_ma_sigma_20,0.000273007551721649,0.007905728356778222,0.0
f1_ret_reversal_20,-0.0012177970486565584,0.01184136391250614,0.0
f1_hilo_pos_20,-0.0011344122059724312,0.00631171115567837,0.0
f1_mr_score_40,0.0011754452433216007,0.007351319957267951,0.0
f1_dist_ma_sigma_40,-0.005497556635451487,0.02160131784514429,0.0
f1_ret_reversal_40,0.0025882957007754485,0.022088479581322915,0.0
f1_hilo_pos_40,-0.002034551309665378,0.014496642442432685,0.0
f1_rsi_14,0.0006128168447075828,0.008618769200749717,0.0
f1_bb_pctb_20,7.538532807638277e-06,0.007041437372626272,0.0
f1_bb_bandwidth_20,0.0001428131981694262,0.008145958478999238,0.0
f2_vol_10,-0.0014511574404781162,0.009151009801155201,0.0
f2_vol_20,-0.0016282287411253705,0.004320937269463928,0.0
f2_vol_60,0.004167781277882302,0.02198572401129053,0.0
f2_vol_ratio_20_60,-0.00013283955677632445,0.010268461216509397,0.0
f2_vol_pctile_20,0.0003223057301656544,0.009902587239409932,0.0
f2_vol_of_vol_20,-0.000437933736256868,0.014730671096674917,0.0
f2_parkinson_20,-0.003963969252593428,0.009746090023355585,0.0
f2_garman_klass_20,-0.0046499838528591885,0.007964674807222034,0.0
f2_atr_14,-0.002150395187568377,0.013338878265116455,0.0
f2_ret_skew_60,-0.0010970410796192764,0.01751129040320133,0.0
f2_ret_kurt_60,-0.005438324415687242,0.027649335425945235,0.0
f6_ts_momentum_20,0.0005969261176102118,0.012893199331228962,0.0
f6_ts_momentum_60,-0.00586682742615412,0.020579689292563944,0.0
f6_ma_cross_20_60,-0.002014185365972454,0.02371395921408883,0.0
f6_macd_12_26,0.00019980460873820032,0.018326818305255548,0.0
