cluster,mean_drop,std_drop
C6_f11,0.016019795682377342,0.017418354230923014
C11_f11_lowfreq_macro,0.012792947662260842,0.016810089135251685
C12_f11,0.011102207335101992,0.022769476793634013
C3_f2,0.008526267569465559,0.025294638140606035
C8_f2,0.005802088448979608,0.006146940071044518
F8_calendar,0.0002884823938621644,0.006373014602952112
C10_f7,-0.0007879413699854304,0.008694162621966733
C9_f7,-0.0008132754041963074,0.008633945226910963
F4_latent,-0.0023096221185512733,0.01003932943509829
C7_f12,-0.0029022248746559814,0.006964461922204062
F5_signal,-0.006290508954048058,0.012583982258419902
C5_f11,-0.008152949830029451,0.019263674304264365
C4_f11,-0.012074044361649562,0.020481986097303187
C2_f6,-0.01298025850284871,0.019922236133608454
C1_f1,-0.015218652288095333,0.02179205790413797
