cluster,mean_drop,std_drop
F5_signal,0.03739833308210609,0.022890027267776936
C8_f11,0.021526447758752943,0.019302540620401404
C4_f2,0.014448807173063207,0.009578900028350115
C1_f1,0.005096252666822156,0.01963691675705318
C5_f11,0.0034659377898271873,0.01343867764072462
C6_f6,0.0032872559292335688,0.016418345834417255
C7_f11_lowfreq_macro,0.001770100307009026,0.003911574493891584
C2_f11_lowfreq_macro,-0.00011391776270078111,0.006002771591083245
F4_latent,-0.0016944378758504003,0.0044935940944652855
C3_f7,-0.001772426572494647,0.004425945153202713
C12_f7,-0.002301561448096334,0.005642441075866946
C10_f11,-0.0028858946347134857,0.0070763240702018506
F8_calendar,-0.0032009776819271083,0.005525961852454552
C11_f11_lowfreq_macro,-0.005671265617156524,0.014949070966262188
C9_f11,-0.006772268015866315,0.0173614100454741
