cluster,clustered_MDA_mean,clustered_MDA_std,clustered_MDI,group_SHAP_mag
F5_signal,0.06597338714217588,0.04218644044489297,0.126915596470783,0.0
C10_f11,0.0382173328057521,0.04180334612432872,0.12997671221485488,0.0
C11_f11,0.011073236780490122,0.030953839691445724,0.11722844856584327,0.0
C3_f11_lowfreq_macro,0.0032655115475611765,0.007825607202641086,0.026354585792622245,0.0
C4_f11_lowfreq_macro,0.0008989656480736167,0.004168224652684199,0.00911355685187228,0.0
F8_calendar,-0.002084775259000356,0.005899194979081842,0.006578633725037081,0.0
C5_f7,-0.0029587608590459615,0.005195395827048282,0.02613839710446276,0.0
C9_f6,-0.003001467649052003,0.018459620295056604,0.11758897425209709,0.0
F4_latent,-0.004475093640714515,0.005350977845388243,0.026588335292840687,0.0
C6_f11,-0.004636111331791663,0.012406902768820387,0.08871279790465258,0.0
C7_f11_lowfreq_macro,-0.004676838258200837,0.009251251034386128,0.030393706611668583,0.0
C8_f7,-0.012666686221067657,0.014773182981456969,0.06917832236735968,0.0
C1_f2,-0.019009235398328127,0.02770937452371854,0.13001105526909426,0.0
C2_f1,-0.020611067873454073,0.019728035509462366,0.09522087757681161,0.0
