feature,cluster,mean_coef_abs,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained,pc3_loading,pca_pc3_var_explained
f1_bb_bandwidth_20,C7_f11,0.0018935239280722144,0.42522963192056035,0.3683026781151028,0.10896058241694823,0.11031792919575781,-0.08330315033938829,0.10984150976220557
f6_adx_14,C7_f11,0.011635883061677349,0.3133333277215575,0.3683026781151028,-0.1520708843463913,0.11031792919575781,-0.3470373991946303,0.10984150976220557
f11_vix_term_slope,C7_f11,0.025799218352665822,-0.3912410169478182,0.3683026781151028,0.006299137024707597,0.11031792919575781,-0.26544548114890903,0.10984150976220557
f11_crude_stock_surprise,C7_f11,0.016214809865694495,0.37760889119565666,0.3683026781151028,0.10854577940537594,0.11031792919575781,0.08434305147998433,0.10984150976220557
f11_global_pmi_breadth,C7_f11,0.02069499938240781,-0.4180733103107633,0.3683026781151028,-0.14236963098921543,0.11031792919575781,-0.17060274266795142,0.10984150976220557
f12_mra_energy_D3,C7_f11,0.055976912567543585,-0.23999854128108097,0.3683026781151028,0.5864015775998226,0.11031792919575781,0.21772336562548883,0.10984150976220557
f12_mra_energy_D4,C7_f11,0.007939746899053987,0.16552036648495597,0.3683026781151028,-0.576459504951625,0.11031792919575781,0.4520995121542505,0.10984150976220557
f12_mra_energy_D5,C7_f11,0.009882381379489779,0.35592637816145806,0.3683026781151028,0.16458040766247223,0.11031792919575781,-0.11874012561541217,0.10984150976220557
f13_path_tortuosity_20d,C7_f11,0.004700119113228269,-0.04295930365231011,0.3683026781151028,0.15279558184504108,0.11031792919575781,0.7039369504313291,0.10984150976220557
hmm_vol_entropy,C7_f11,0.04229419228850386,-0.1924403934969944,0.3683026781151028,-0.4542086403329864,0.11031792919575781,0.06724134635383366,0.10984150976220557
