feature,coef_abs,coef_signed
f5_signal,0.47059961207556916,0.47059961207556916
f11_move_z,0.3936086760301471,-0.3936086760301471
f2_vol_ratio_20_60,0.16141731126203185,-0.16141731126203185
f1_bb_pctb_20,0.15347468998091163,-0.15347468998091163
f1_mr_score_20,0.13711342921191474,-0.13711342921191474
f1_rsi_14,0.12489762982846368,-0.12489762982846368
f6_ts_momentum_60,0.12104494062893828,-0.12104494062893828
f11_baltic_5d_change,0.11720117200146046,0.11720117200146046
f5_long_bias_20,0.10495366220453045,-0.10495366220453045
f11_ism_pmi_level,0.10420906830680661,0.10420906830680661
f11_gasoline_stock_surprise,0.10397426208652426,0.10397426208652426
hmm_vol_entropy,0.092075973855817,-0.092075973855817
f11_hy_oas_5d_change,0.09085141122184358,0.09085141122184358
f7_oi_price_div_20,0.0875146045610187,-0.0875146045610187
f15_ewma_implied_corr_z,0.08651037770517118,-0.08651037770517118
f6_macd_12_26,0.08006717537735046,0.08006717537735046
f11_hy_oas_z,0.07991016194689973,-0.07991016194689973
f1_ret_reversal_10,0.06840302702383,0.06840302702383
f11_crude_stock_surprise,0.06494916693888014,0.06494916693888014
f11_us_2s10s_slope,0.06354511695236105,0.06354511695236105
inst_rb1s,0.060645556872301,-0.060645556872301
f1_hilo_pos_40,0.0564536127965853,-0.0564536127965853
f11_vix_term_slope,0.05361141465228528,-0.05361141465228528
f12_mra_energy_D3,0.051141852052372094,0.051141852052372094
f2_vol_of_vol_20,0.05060642613746585,0.05060642613746585
f2_ret_skew_60,0.05041885818644497,0.05041885818644497
f11_ism_pmi_3m_change,0.045219824298507974,-0.045219824298507974
f11_eurusd_5d_change,0.04446199619196891,0.04446199619196891
hmm_vol_p0_calm,0.04384736348987241,-0.04384736348987241
f6_macd_hist_12_26_9,0.04304981032843996,0.04304981032843996
f8_month_cos,0.042619224715126004,0.042619224715126004
inst_ng1s,0.04216543361153934,0.04216543361153934
f11_dist_stock_surprise,0.041672642441202994,0.041672642441202994
f6_adx_14,0.04101953099405076,0.04101953099405076
f6_ts_momentum_20,0.03918565205804455,-0.03918565205804455
f11_dxy_5d_change,0.038875542917080376,0.038875542917080376
f2_vol_20,0.038738726777468445,-0.038738726777468445
f11_baltic_dry_z,0.037816372105403666,0.037816372105403666
f8_dow_cos,0.03681724181895162,0.03681724181895162
f1_hilo_pos_10,0.03454673682920095,0.03454673682920095
f11_bund_10y_5d_change,0.03417752927851186,0.03417752927851186
f13_prob_timeout,0.03409665939851776,0.03409665939851776
f13_expected_hit_time,0.0333449846286118,0.0333449846286118
f7_oi_level,0.031549931047123086,0.031549931047123086
f1_dist_ma_sigma_10,0.031214483366462587,-0.031214483366462587
f1_bb_bandwidth_20,0.030119983629727863,0.030119983629727863
f11_vix_level_z,0.029307044471016567,0.029307044471016567
f1_mr_score_40,0.028334237268784517,-0.028334237268784517
f11_move_vix_ratio,0.027225726038233557,-0.027225726038233557
hmm_vol_next_turbulent,0.02577670612679884,0.02577670612679884
f5_trailing_run_length,0.02575762919100811,0.02575762919100811
f5_participation_20,0.02355172941183301,0.02355172941183301
f11_ust_10y_5d_change,0.023262339676895585,0.023262339676895585
f11_china_pmi_level,0.020379841681877356,0.020379841681877356
f2_atr_14,0.019836751071189155,0.019836751071189155
f12_mra_energy_D1,0.01787094275618221,-0.01787094275618221
f8_month_sin,0.01709149748336454,0.01709149748336454
f5_sign_agree_mr,0.016538605590115683,-0.016538605590115683
f1_mr_score_10,0.01618422086323256,0.01618422086323256
f11_ig_oas_z,0.016135511495157576,-0.016135511495157576
f11_dxy_z,0.01565347686719291,-0.01565347686719291
f10_oto_ret,0.015390896580806475,-0.015390896580806475
f12_mra_energy_D2,0.015211323810938471,0.015211323810938471
inst_ho1s,0.014092453094583927,0.014092453094583927
f7_volume_z_20,0.013799852684704295,-0.013799852684704295
f11_skew_z,0.013285129826881504,-0.013285129826881504
f12_mra_energy_D4,0.012606708447534339,-0.012606708447534339
f1_dist_ma_sigma_20,0.011884511507482372,-0.011884511507482372
f7_volume_trend_20,0.011874544206154334,-0.011874544206154334
f1_dist_ma_sigma_40,0.01104929678546418,-0.01104929678546418
f10_hl_range,0.010133962118991409,-0.010133962118991409
f11_ng_stock_surprise,0.009827854053766629,-0.009827854053766629
f11_breakeven_10y,0.009805618426023998,0.009805618426023998
f1_ret_reversal_40,0.00967640434403035,0.00967640434403035
f13_path_tortuosity_20d,0.00954539113764429,-0.00954539113764429
f7_oi_change,0.008590575062640805,0.008590575062640805
f2_garman_klass_20,0.007602927164886271,0.007602927164886271
hmm_vol_p2_turbulent,0.00755773490926545,0.00755773490926545
f11_hy_ig_ratio,0.007306206769124094,0.007306206769124094
f11_copper_stock_z,0.006818369149671653,0.006818369149671653
f1_hilo_pos_20,0.006679582174505446,0.006679582174505446
f4_pc1,0.006112090322770694,-0.006112090322770694
f13_realized_semi_vol_ratio,0.005378423373714456,0.005378423373714456
f2_parkinson_20,0.005144221406020706,0.005144221406020706
f7_oi_z_20,0.004619198941623605,-0.004619198941623605
f8_dow_sin,0.003890745185297239,0.003890745185297239
f2_vol_60,0.0035923712604265827,0.0035923712604265827
f11_be_5d_change,0.0035884488923586186,-0.0035884488923586186
f2_vol_pctile_20,0.0034232674637130964,-0.0034232674637130964
f4_pc3,0.00336811104350184,0.00336811104350184
f2_ret_kurt_60,0.002889597438182989,-0.002889597438182989
f2_vol_10,0.0028198825570700707,0.0028198825570700707
f11_vix_5d_change,0.002769296374505133,0.002769296374505133
hmm_macro_entropy,0.002643619265603689,-0.002643619265603689
hmm_macro_p0,0.002558890461316979,-0.002558890461316979
f6_ma_cross_20_60,0.0025556323854504987,-0.0025556323854504987
f10_oto_ret_mean_20,0.0025298509847829008,-0.0025298509847829008
f11_real_yield_10y,0.0022822050768537246,-0.0022822050768537246
f12_mra_energy_D5,0.0018875502396346925,0.0018875502396346925
f1_ret_reversal_20,0.001800287733352074,0.001800287733352074
f4_pc4,0.0012354654216309435,0.0012354654216309435
f4_pc2,0.0009363475641935593,0.0009363475641935593
f11_global_pmi_breadth,0.0007407361927838703,0.0007407361927838703
f11_ust_bund_spread,0.0004887115388866864,0.0004887115388866864
