cluster,mean_drop,std_drop,significant
C13_f11,0.06623844503257645,0.2474920325745517,False
F4_latent,0.02297540962257842,0.08686963361793247,False
C10_f11_lowfreq_macro,0.021535721306339798,0.07725661366369274,False
F5_signal,0.021367145538803544,0.03732209869320332,False
C12_f12,0.020504437690093448,0.09679258943989438,False
C6_f11_lowfreq_macro,0.01785831606550469,0.058599003102234266,False
C4_f2,0.010934826333005791,0.10239780614342216,False
F8_calendar,0.00945567293459381,0.021334004310913052,False
C2_f1,0.005481794972417312,0.07339794718269217,False
C11_f7,0.0033134583426638626,0.018818389052106622,False
F_instrument,0.0,0.0,False
C8_f7,-0.0009488536155202842,0.016505398213029408,False
C3_f11_lowfreq_macro,-0.0016731509600359888,0.03577880807290161,False
C9_f11_lowfreq_macro,-0.007086232342399334,0.01476751924218399,False
C7_f11,-0.011362894022603065,0.08156756134040169,False
C1_f1,-0.031234779320278315,0.05235674273927593,False
C5_f2,-0.08174659426910343,0.12751189633854462,False
