feature,mean_shap_mag,pc1_loading,cluster,pca_pc1_var_explained
f11_gasoline_stock_surprise,0.034882637317343465,-0.3387667928214951,C13_f11,0.24098788245569822
f11_move_z,0.013868116676618135,-0.30964003532093204,C13_f11,0.24098788245569822
f11_ng_stock_surprise,0.011560296015577743,0.5382884229701802,C13_f11,0.24098788245569822
f11_baltic_5d_change,0.007686025392448884,0.25182119199728786,C13_f11,0.24098788245569822
f11_baltic_dry_z,0.007570574600587726,0.4427804304352601,C13_f11,0.24098788245569822
f1_bb_bandwidth_20,0.006895650371041302,-0.1998075775039729,C13_f11,0.24098788245569822
f6_adx_14,0.004863256129712347,-0.44521980308390413,C13_f11,0.24098788245569822
f13_path_tortuosity_20d,0.0032190753711746987,0.019420901802230498,C13_f11,0.24098788245569822
hmm_macro_entropy,0.0008423528103999646,-0.03337623571749482,C13_f11,0.24098788245569822
f7_oi_price_div_20,0.00017627009101173183,-0.022413709314601883,C13_f11,0.24098788245569822
