K,silhouette,calinski_harabasz,davies_bouldin
3,0.08532651860141192,2.6785121791276647,1.9475334642755895
4,0.09854248747815259,1.7668859622923478,2.774057757942326
5,0.11219198835218454,1.3105000147285417,3.0216744067322265
6,0.1187824528354651,1.0491422842404707,3.0393695206664497
7,0.12573272528773694,0.8634915959080474,2.8992812878771708
8,0.12374820332161549,0.7308839584274704,2.8776412372379436
9,0.12327230833328003,0.631428230437029,2.9092940030879757
10,0.13852120943854737,0.554073775236239,2.7087689198761464
11,0.14290945874246927,0.4921902203196013,2.6969775328235355
12,0.15280491275252314,0.4450635960408975,2.645590123515497
13,0.14419574994057147,0.4025352969837583,2.722776284098285
14,0.14920065704086452,0.36654981305597045,2.664780735865903
15,0.15752842211049617,0.3357051125461799,2.593840039709073
