cluster,mean_drop,std_drop
C7_f11_lowfreq_macro,0.010666553443959012,0.01033305171139043
C10_f11,0.0099502411267042,0.007038363386209771
F5_signal,0.009700603010417745,0.016358161015691597
C1_f1,0.0059795618374903535,0.00671096725459901
C11_f11_lowfreq_macro,0.0016430001759317188,0.0025580523712368866
C13_f11,0.00113711013326256,0.013068124651588067
C8_f11_lowfreq_macro,0.0009749008967426608,0.010688910015054398
C9_f7,0.0009713928120917513,0.0036548840770830398
F4_latent,-0.00012531991595729825,0.0052128727674780025
C2_f1,-0.0005721090966633438,0.01029112020791354
F8_calendar,-0.0006065657668682948,0.0016579704353894037
C14_f11,-0.0009510110438122325,0.002758377234312636
C4_f11,-0.0015665143967049575,0.00407505065082701
C12_f11_lowfreq_macro,-0.002379480373308594,0.01556658374530435
C5_f13,-0.0028975928771959743,0.006348293003098993
C6_f11,-0.0028989337153044236,0.01067935104911363
C15_f12,-0.009878727704648167,0.016711383063526684
C3_f2,-0.016729387654781512,0.020173928096803285
