cluster,clustered_MDA_mean,clustered_MDA_std,clustered_MDI,group_SHAP_mag
C13_f11_lowfreq_macro,0.020398852732668133,0.017847380889385485,0.07732722717498747,0.0
C8_f11,0.01813756899989484,0.01923999676379958,0.09144349773203558,0.0
F5_signal,0.009118783121959791,0.028826945471795335,0.06727849897428177,0.0
C2_f1,0.0018267748467711066,0.00553336302898236,0.0372277893971532,0.0
C7_f11_lowfreq_macro,0.0011281328095862095,0.0055433227079944285,0.017607624615977775,0.0
C9_f11,0.000925525913964298,0.008494335769365282,0.035261664327039005,0.0
C12_f6,0.0008324200520634983,0.008150620612589185,0.04513530233743657,0.0
C6_f11,0.0004177693007415476,0.019419002207759307,0.11330802768946417,0.0
F8_calendar,0.00013135120240889882,0.0019504951205832517,0.006641813875921814,0.0
C4_f11,-0.00016360166806265544,0.007658322308160771,0.04873046718097797,0.0
C14_f11_lowfreq_macro,-0.0004747357467342635,0.009129909223321296,0.032682523493271436,0.0
C5_f13,-0.0016324584435843763,0.007134670519767051,0.020570951643234615,0.0
C3_f1,-0.001650338566139901,0.015416145322150845,0.11999408217893924,0.0
F4_latent,-0.0017091795722060062,0.007128750485473834,0.03553781306552342,0.0
C15_f11,-0.0024262003892862633,0.01371145989753889,0.05778615210201691,0.0
C11_f11_lowfreq_macro,-0.0033880734334406676,0.006517929319545022,0.018648009220527402,0.0
C1_f2,-0.008088860152646907,0.016194770859158707,0.11638799644498934,0.0
C10_f12,-0.0096712874081878,0.026189364065746505,0.05843055854622235,0.0
