cluster,mean_drop,std_drop
C13_f2,0.04282828282828286,0.0064859182855267
C15_f2,0.039644360269360295,0.037582129741288786
C9_f12,0.034644360269360304,0.02745329326160893
C12_f11,0.03172769360269364,0.017026336469688815
C6_f6,0.025412457912457952,0.04086714033549992
C10_f11,0.008211279461279508,0.02636912753067963
C5_f11_lowfreq_macro,0.007178030303030335,0.0060109066761157275
F4_latent,0.006843434343434367,0.027471718397342533
C11_f11,0.005603956228956253,0.012813411527329885
C14_hmm_vol,0.003156565656565663,0.03283095365980747
C1_f1,-2.9461279461244955e-05,0.06730910838745695
F8_calendar,-0.005481902356902324,0.01502950709717915
C4_f11_lowfreq_macro,-0.009654882154882128,0.00548371440675582
C3_f1,-0.010475589225589202,0.025503176290440167
C8_f11_lowfreq_macro,-0.011660353535353501,0.013810134558959882
C2_f11_lowfreq_macro,-0.019114057239057212,0.028264881129695607
F5_signal,-0.02626052188552186,0.009999490499255555
C7_f7,-0.04666877104377101,0.05279246219786107
