cluster,mean_drop,std_drop,significant
F5_signal,0.0751633093843752,0.037379821140874174,True
C8_f11,0.01792444700575103,0.030057137172841062,False
C2_f11,0.012503615700637967,0.0245401816344235,False
C9_f11,0.008225722661214577,0.024702596470123545,False
C4_f2,0.007488682420315707,0.016141485709337402,False
C5_f11_lowfreq_macro,0.002696707495361102,0.006628278181683925,False
C7_f11_lowfreq_macro,0.0010705526572282371,0.0021367702649940775,False
C6_f7,0.00021649807623832137,0.006794008657546103,False
F8_calendar,-0.000591101361515108,0.0061026439706800975,False
F4_latent,-0.0017838799100111694,0.005947184484219799,False
C10_f11,-0.0048286121008814095,0.0073313333296660356,False
C11_f11_lowfreq_macro,-0.005084721546326905,0.010462868279605235,False
C12_f7,-0.006521337985284862,0.007462948772769999,False
C3_f6,-0.011042808993770137,0.024811306812519515,False
C1_f1,-0.019315701590531656,0.023351888300778827,False
