feature,coef_abs,coef_signed
f11_ust_10y_5d_change,0.22403203682919495,-0.22403203682919495
f11_gasoline_stock_surprise,0.10807564739575391,0.10807564739575391
hmm_vol_p2_turbulent,0.10183126510949711,0.10183126510949711
hmm_vol_p0_calm,0.09251401076268131,-0.09251401076268131
f1_mr_score_20,0.08786874760163228,0.08786874760163228
f7_oi_z_20,0.0763195922054157,0.0763195922054157
f11_hy_oas_5d_change,0.07235047830612333,-0.07235047830612333
f5_signal,0.06178046137582747,0.06178046137582747
f11_vix_5d_change,0.060757539262814915,-0.060757539262814915
f13_path_tortuosity_20d,0.059931788733632634,-0.059931788733632634
f1_dist_ma_sigma_10,0.05732475248525307,-0.05732475248525307
f6_ts_momentum_60,0.057208680890209605,-0.057208680890209605
f11_move_vix_ratio,0.05647582069431152,-0.05647582069431152
f7_oi_level,0.0515194486548559,0.0515194486548559
f15_asset_class_dispersion_z,0.051009091655288,0.051009091655288
f5_trailing_run_length,0.05050509642697921,0.05050509642697921
f2_vol_ratio_20_60,0.047595296344652545,-0.047595296344652545
f2_vol_pctile_20,0.043899415505963005,-0.043899415505963005
f11_bund_10y_5d_change,0.04305436012760988,-0.04305436012760988
f1_ret_reversal_40,0.041631007737521396,0.041631007737521396
f11_baltic_5d_change,0.04112115876046719,-0.04112115876046719
f1_hilo_pos_10,0.039096145042656,-0.039096145042656
f11_hy_oas_z,0.03726430885661357,-0.03726430885661357
f11_ism_pmi_3m_change,0.0371014035438623,0.0371014035438623
f11_ism_pmi_level,0.037099906628111176,0.037099906628111176
f11_be_5d_change,0.03321919272423333,0.03321919272423333
f7_oi_change,0.0331752131746685,-0.0331752131746685
f11_crude_stock_surprise,0.03286665882008568,-0.03286665882008568
f7_oi_price_div_20,0.03224208404296639,0.03224208404296639
f11_vix_term_slope,0.032157022929808904,-0.032157022929808904
f11_baltic_dry_z,0.02898637306228816,0.02898637306228816
f6_macd_hist_12_26_9,0.028503214744367126,-0.028503214744367126
f1_rsi_14,0.02840577735399955,-0.02840577735399955
hmm_macro_p0,0.028391654427446854,-0.028391654427446854
f1_dist_ma_sigma_20,0.027928334944230134,-0.027928334944230134
f11_ust_bund_spread,0.027256281182177728,-0.027256281182177728
f1_bb_pctb_20,0.027112790728740566,-0.027112790728740566
f2_ret_skew_60,0.02611012052033105,0.02611012052033105
f1_hilo_pos_20,0.025534904803137512,-0.025534904803137512
f5_long_bias_20,0.02517304302972895,-0.02517304302972895
f12_mra_energy_D5,0.024761876337468916,0.024761876337468916
f11_real_yield_10y,0.02400353319666963,-0.02400353319666963
f13_prob_timeout,0.023754289008828915,-0.023754289008828915
f11_copper_stock_z,0.022949105408162022,-0.022949105408162022
f6_donchian_pos_20,0.021978204049395426,-0.021978204049395426
f10_oto_ret_mean_20,0.019748573666211418,0.019748573666211418
f1_mr_score_40,0.019658253341740532,0.019658253341740532
f4_pc3,0.01907071406723076,-0.01907071406723076
f12_mra_energy_D3,0.018024000388174213,-0.018024000388174213
f8_month_sin,0.017857364261618925,0.017857364261618925
f11_skew_z,0.017413327255638142,-0.017413327255638142
f12_mra_energy_D4,0.017297918846546394,0.017297918846546394
f1_ret_reversal_10,0.017155787107945596,0.017155787107945596
f10_oto_ret,0.016565011892003285,0.016565011892003285
f11_eurusd_5d_change,0.016087300913777736,-0.016087300913777736
f1_mr_score_10,0.01607566229717935,-0.01607566229717935
f11_global_pmi_breadth,0.015889503037490284,0.015889503037490284
f4_pc2,0.015493894594869096,-0.015493894594869096
f5_sign_agree_mr,0.015308643301506431,-0.015308643301506431
f13_realized_semi_vol_ratio,0.014667503539195294,0.014667503539195294
f11_dist_stock_surprise,0.01465149318450417,0.01465149318450417
f11_dxy_5d_change,0.013901817831106614,-0.013901817831106614
f11_vix_level_z,0.013701183486261318,-0.013701183486261318
f11_move_z,0.013432848543192634,0.013432848543192634
f11_ig_oas_z,0.012838671172420742,0.012838671172420742
f11_china_pmi_level,0.01110872501401077,0.01110872501401077
f10_hl_range,0.0110684372507992,0.0110684372507992
f12_mra_energy_D2,0.01050677021726561,-0.01050677021726561
f4_pc1,0.010341779646488154,-0.010341779646488154
f8_dow_cos,0.009860907131412468,-0.009860907131412468
f7_volume_z_20,0.009532243347653976,-0.009532243347653976
f11_breakeven_10y,0.009426326474226076,0.009426326474226076
f2_atr_14,0.009268757438783538,0.009268757438783538
f5_participation_20,0.008770459385130326,-0.008770459385130326
f11_ng_stock_surprise,0.008680405155436745,-0.008680405155436745
f6_adx_14,0.007903967428768262,-0.007903967428768262
f6_macd_12_26,0.00772272208636863,-0.00772272208636863
f1_hilo_pos_40,0.007190800436727737,0.007190800436727737
f11_hy_ig_ratio,0.007114387785403423,0.007114387785403423
f12_mra_energy_D1,0.006714873610271829,-0.006714873610271829
f4_pc4,0.0062966156434817195,-0.0062966156434817195
f6_ma_cross_20_60,0.006132559050142471,0.006132559050142471
f2_vol_10,0.006098320963252299,-0.006098320963252299
f7_volume_trend_20,0.0056536503458366385,0.0056536503458366385
f2_ret_kurt_60,0.005208735346150723,-0.005208735346150723
f1_ret_reversal_20,0.004451557632162234,-0.004451557632162234
f11_us_2s10s_slope,0.0040722709586659194,0.0040722709586659194
f6_ts_momentum_20,0.0039657545060215425,-0.0039657545060215425
f2_vol_20,0.003962180961525236,-0.003962180961525236
hmm_vol_entropy,0.003496327636986886,0.003496327636986886
f2_vol_of_vol_20,0.003474012190428216,-0.003474012190428216
f8_dow_sin,0.003105586865380911,0.003105586865380911
f11_dxy_z,0.0023269386429696174,0.0023269386429696174
hmm_macro_entropy,0.001969796057402718,-0.001969796057402718
f13_expected_hit_time,0.0017880927807090022,-0.0017880927807090022
f15_ewma_implied_corr_z,0.0017260408539268553,-0.0017260408539268553
f8_month_cos,0.0016114633683781687,-0.0016114633683781687
f2_parkinson_20,0.0015478163766674473,-0.0015478163766674473
f2_vol_60,0.0008399301815954796,-0.0008399301815954796
f1_bb_bandwidth_20,0.000651816262296233,-0.000651816262296233
f1_dist_ma_sigma_40,0.0004963627289584486,-0.0004963627289584486
