feature,cluster,mean_coef_abs,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained,pc3_loading,pca_pc3_var_explained
f1_bb_bandwidth_20,C2_f2,0.000651816262296233,0.2749986350516605,0.636600450046611,0.24736236343909634,0.10453900122728628,0.021728310329273123,0.07148030968982436
f2_vol_10,C2_f2,0.006098320963252299,0.2776277429781323,0.636600450046611,0.2866198818249831,0.10453900122728628,-0.06006244454173388,0.07148030968982436
f2_vol_20,C2_f2,0.003962180961525236,0.2923958097991346,0.636600450046611,0.19340077397420197,0.10453900122728628,0.052057041372765026,0.07148030968982436
f2_vol_60,C2_f2,0.0008399301815954796,0.26863063859256125,0.636600450046611,-0.1904322811529087,0.10453900122728628,0.245908101465273,0.07148030968982436
f2_vol_pctile_20,C2_f2,0.043899415505963005,0.25420829812298934,0.636600450046611,0.09936490558439631,0.10453900122728628,-0.1912906973633438,0.07148030968982436
f2_vol_of_vol_20,C2_f2,0.003474012190428216,0.26415896868798433,0.636600450046611,-0.19875258223484982,0.10453900122728628,0.24162983018485018,0.07148030968982436
f2_parkinson_20,C2_f2,0.0015478163766674473,0.29421952522572603,0.636600450046611,0.13848203648942645,0.10453900122728628,0.03287026793074741,0.07148030968982436
f2_atr_14,C2_f2,0.009268757438783538,0.3036247790165724,0.636600450046611,0.09458581209343153,0.10453900122728628,0.005655236246953506,0.07148030968982436
f6_ts_momentum_60,C2_f2,0.057208680890209605,-0.25408950005107384,0.636600450046611,-0.18873331556219247,0.10453900122728628,0.021321203401232395,0.07148030968982436
f10_hl_range,C2_f2,0.0110684372507992,0.24581349244711556,0.636600450046611,0.2835712649643565,0.10453900122728628,-0.21097606277191294,0.07148030968982436
f11_move_vix_ratio,C2_f2,0.05647582069431152,-0.18698171706630834,0.636600450046611,0.48411983324019486,0.10453900122728628,0.312296662389709,0.07148030968982436
f11_ust_bund_spread,C2_f2,0.027256281182177728,-0.19245018181568466,0.636600450046611,0.4821373034839843,0.10453900122728628,0.11551387950374485,0.07148030968982436
f12_mra_energy_D1,C2_f2,0.006714873610271829,0.20445074827271958,0.636600450046611,-0.13377513679705627,0.10453900122728628,0.580541057200276,0.07148030968982436
f12_mra_energy_D2,C2_f2,0.01050677021726561,-0.19934685205123467,0.636600450046611,0.23820380382086914,0.10453900122728628,-0.28213711169411493,0.07148030968982436
hmm_vol_p0_calm,C2_f2,0.09251401076268131,-0.18220778755606218,0.636600450046611,0.20910795425160644,0.10453900122728628,0.48006710654744844,0.07148030968982436
hmm_vol_p2_turbulent,C2_f2,0.10183126510949711,0.2544837256068792,0.636600450046611,-0.06533431530281215,0.10453900122728628,-0.1836253284960436,0.07148030968982436
