cluster,mean_drop,std_drop,significant
C15_f7,0.10876543209876548,0.0632732684898058,True
C10_f11_lowfreq_macro,0.06183641975308644,0.09920995491176048,False
C4_f2,0.05511188271604941,0.075135123368488,False
C2_f1,0.04795447530864199,0.1320397907884277,False
F_instrument,0.04755632716049385,0.10887646637566649,False
C5_f11,0.04684027777777779,0.06152991722230608,False
F5_signal,0.0460871913580247,0.10864030815191257,False
C7_f11,0.034305555555555575,0.11616610388783968,False
C8_f11_lowfreq_macro,0.02922299382716051,0.05721104143357656,False
C3_f6,0.024817901234567914,0.05994452367004025,False
C13_f11,0.020183641975308645,0.052626619415481794,False
C6_f2,0.019618827160493842,0.033674379941844836,False
C11_f12,0.018419753086419768,0.05811282534619835,False
C14_f7,0.018138888888888902,0.07635079307180513,False
C9_f11_lowfreq_macro,0.012490740740740755,0.015161491945376845,False
F8_calendar,0.010106481481481489,0.04537054361610569,False
C12_f11_lowfreq_macro,0.007628086419753096,0.014108283911160258,False
F4_latent,0.0065763888888889085,0.056340536473166246,False
C1_f1,-0.021021604938271588,0.07263813155954478,False
