feature,cluster,mean_shap_mag,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained,pc3_loading,pca_pc3_var_explained
f2_vol_10,C4_f2,0.00028863961887272725,0.2811524924343414,0.5775752419194272,0.3173175105420632,0.12071307813870207,-0.06889746716921342,0.06975146021483507
f2_vol_20,C4_f2,0.0008748751158077755,0.3025252761420602,0.5775752419194272,0.2928091683631395,0.12071307813870207,0.008708945106455668,0.06975146021483507
f2_vol_60,C4_f2,0.0010663168827196579,0.2954932904733832,0.5775752419194272,-0.02045489027694806,0.12071307813870207,0.2758484614039817,0.06975146021483507
f2_vol_pctile_20,C4_f2,0.0008614178579673116,0.2569971850467479,0.5775752419194272,0.004986891100815452,0.12071307813870207,-0.3751981051262279,0.06975146021483507
f2_vol_of_vol_20,C4_f2,0.0008902275027162714,0.25921614877491495,0.5775752419194272,-0.08021186690692102,0.12071307813870207,0.4161199847802688,0.06975146021483507
f2_parkinson_20,C4_f2,0.0005934248450740362,0.29832754227714003,0.5775752419194272,0.30593454771622725,0.12071307813870207,0.06562495625015081,0.06975146021483507
f2_garman_klass_20,C4_f2,0.00046417751330916733,0.29616172364695437,0.5775752419194272,0.3027172063985279,0.12071307813870207,0.0787681441531681,0.06975146021483507
f10_hl_range,C4_f2,0.0005869573091258019,0.2151991788933121,0.5775752419194272,0.27082316928641204,0.12071307813870207,-0.1450184742909769,0.06975146021483507
f11_move_vix_ratio,C4_f2,0.0004072452181895238,-0.19856389609782382,0.5775752419194272,0.3475748699628178,0.12071307813870207,-0.3179028589771879,0.06975146021483507
f11_us_2s10s_slope,C4_f2,0.0005246050028792029,-0.21578439586656756,0.5775752419194272,0.354693059311166,0.12071307813870207,0.20939499304003745,0.06975146021483507
f11_ust_bund_spread,C4_f2,0.0009750334115063192,-0.24548176371809863,0.5775752419194272,0.37013387087621435,0.12071307813870207,-0.29435028113296274,0.06975146021483507
f11_ism_pmi_level,C4_f2,0.0004032787255256874,-0.2765123295581862,0.5775752419194272,0.23446709352304732,0.12071307813870207,0.03329060717921036,0.06975146021483507
hmm_vol_p0_calm,C4_f2,0.004450748062092426,-0.10125416878248719,0.5775752419194272,0.292429884620601,0.12071307813870207,0.49933794826932554,0.06975146021483507
hmm_vol_p2_turbulent,C4_f2,0.006051064096779211,0.27691949777483277,0.5775752419194272,-0.10881041876073692,0.12071307813870207,-0.2120824087824851,0.06975146021483507
hmm_vol_next_turbulent,C4_f2,0.009808271644707663,0.27605325943935477,0.5775752419194272,-0.11032691483697223,0.12071307813870207,-0.21595802468497902,0.06975146021483507
