K,silhouette,calinski_harabasz,davies_bouldin
3,0.0933496176739684,0.42542229874641485,4.927366585570744
4,0.07622541038319328,0.2802782203516376,6.419307283150765
5,0.0920813598971313,0.6056448335775789,6.38674960982839
6,0.10201417697720859,0.9273223200125291,5.710388368954333
7,0.11176202197729582,0.7633445926941083,9.706605412383928
8,0.12022518419119792,2.218069761993785,8.788797674514084
9,0.105571344284321,1.9165509037234396,7.852220749154676
10,0.12161400842608319,1.6820362361792263,7.295439542003761
11,0.13817411600720805,2.5632506554359575,6.808826358213714
12,0.14815457274478655,2.2999651689928653,6.470815827173175
13,0.15552530436816936,2.0805605969507988,5.992405488022777
14,0.16291062076289708,1.8949105745350114,5.968554874197541
15,0.16914523610803756,1.735781983818077,3.762002649849416
