feature,mean_shap_mag,cluster,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained,pc3_loading,pca_pc3_var_explained
f2_vol_60,0.0065910412865888,C4_f11,-0.5229746063138453,0.7357190208104358,0.36895012850239706,0.18122749504757482,-0.5311929720160384,0.05714325802094976
f11_crude_stock_surprise,0.0030793389691804,C4_f11,0.3880188079693119,0.7357190208104358,0.856560944689859,0.18122749504757482,0.32338079246359264,0.05714325802094976
f11_ng_stock_surprise,0.0053228920092868,C4_f11,0.5375541639091241,0.7357190208104358,-0.34932278642475023,0.18122749504757482,0.029638645170914094,0.05714325802094976
f11_global_pmi_breadth,0.0040082139227225,C4_f11,-0.5356999968983719,0.7357190208104358,-0.0902925334373213,0.18122749504757482,0.7825474044802778,0.05714325802094976
