feature,cluster,mean_shap_mag,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained,pc3_loading,pca_pc3_var_explained
f1_rsi_14,6,0.179338,0.428051,0.762493,0.436953,0.102218,-0.061101,0.063350
f15_semi_vol_ratio_20,6,0.110900,-0.389629,0.762493,0.118236,0.102218,0.868034,0.063350
f6_ts_momentum_20,6,0.102677,0.426654,0.762493,-0.426685,0.102218,0.138588,0.063350
f12_trend_tval_21,6,0.066436,0.409353,0.762493,-0.061080,0.102218,0.132646,0.063350
f10_oc_ret_mean_20,6,0.042059,0.409532,0.762493,-0.442177,0.102218,0.380210,0.063350
f1_bb_pctb_20,6,0.038158,0.384242,0.762493,0.643258,0.102218,0.247835,0.063350
