date,instrument,side,t1,ret,bin,trgt,h,pt_mult,sl_mult,sigma_method,avg_uniqueness
2020-01-03,es1s,1,2020-01-17,0.02766187606236037,1,0.02616236453059317,15,1.0,0.5,garch,0.2745343040797586
2020-01-06,es1s,1,2020-01-28,0.010713735162288351,1,0.02616236453059317,15,1.0,0.5,garch,0.16307113025863024
2020-01-07,es1s,1,2020-01-17,0.027741287378902024,1,0.02616236453059317,15,1.0,0.5,garch,0.16887526054192717
2020-01-08,es1s,1,2020-01-30,0.009048385861623265,1,0.02616236453059317,15,1.0,0.5,garch,0.130333035020535
2020-01-09,es1s,1,2020-01-31,-0.015873015871771035,0,0.02616236453059317,15,1.0,0.5,garch,0.12363660644910646
2020-01-10,es1s,1,2020-02-03,-0.005896316716324512,0,0.02616236453059317,15,1.0,0.5,garch,0.12676160644910645
2020-01-13,es1s,1,2020-01-27,-0.01527471692318838,0,0.02616236453059317,15,1.0,0.5,garch,0.09924714174714173
2020-01-14,es1s,1,2020-01-27,-0.014750608272562693,0,0.02616236453059317,15,1.0,0.5,garch,0.09440158606825272
2020-01-15,es1s,1,2020-01-27,-0.016470588232733174,0,0.02616236453059317,15,1.0,0.5,garch,0.09057678432678433
2020-01-16,es1s,1,2020-01-27,-0.02321724709736528,0,0.02616236453059317,15,1.0,0.5,garch,0.08764330907188049
2020-01-17,es1s,1,2020-01-27,-0.0257142857126903,0,0.02616236453059317,15,1.0,0.5,garch,0.08558386058386058
2020-01-21,es1s,1,2020-01-27,-0.02410001506143311,0,0.02616236453059317,15,1.0,0.5,garch,0.08451881451881452
2020-01-22,es1s,1,2020-01-27,-0.024173507041497122,0,0.02616236453059317,15,1.0,0.5,garch,0.08064851814851814
2020-01-23,es1s,1,2020-01-27,-0.02600721587541155,0,0.02616236453059317,15,1.0,0.5,garch,0.07722832722832722
2020-01-24,es1s,1,2020-01-27,-0.01639593137951456,0,0.02616236453059317,15,1.0,0.5,garch,0.07417582417582418
2020-01-27,es1s,1,2020-02-05,0.029479858001406845,1,0.02616236453059317,15,1.0,0.5,garch,0.1738095238095238
2020-01-28,es1s,1,2020-01-31,-0.01654846335439719,0,0.02616236453059317,15,1.0,0.5,garch,0.15476190476190477
2020-01-29,es1s,1,2020-01-31,-0.014820473644056475,0,0.02616236453059317,15,1.0,0.5,garch,0.15079365079365079
2020-01-30,es1s,1,2020-01-31,-0.019986321148198538,0,0.02616236453059317,15,1.0,0.5,garch,0.14285714285714285
2020-01-31,es1s,1,2020-02-05,0.03442928039539339,1,0.02616236453059317,15,1.0,0.5,garch,0.2107142857142857
2020-02-03,es1s,1,2020-02-19,0.04367585888164216,1,0.04287676904991173,15,1.0,0.5,garch,0.16762866762866765
2020-02-04,es1s,-1,2020-02-12,-0.024549174118376982,0,0.04287676904991173,15,1.0,0.5,garch,0.19064625850340136
2020-02-05,es1s,1,2020-02-24,-0.032608695651983655,0,0.04287676904991173,15,1.0,0.5,garch,0.13559303943919326
2020-02-06,es1s,1,2020-02-24,-0.03557282714442089,0,0.04287676904991173,15,1.0,0.5,garch,0.1302257927257927
2020-02-07,es1s,1,2020-02-24,-0.02984513606861039,0,0.04287676904991173,15,1.0,0.5,garch,0.1193372284281375
2020-02-10,es1s,1,2020-02-24,-0.03780196838618466,0,0.04287676904991173,15,1.0,0.5,garch,0.11127095127095125
2020-02-11,es1s,1,2020-02-24,-0.03909158600195406,0,0.04287676904991173,15,1.0,0.5,garch,0.10511587178253845
2020-02-12,es1s,1,2020-02-24,-0.045629344771940694,0,0.04287676904991173,15,1.0,0.5,garch,0.10039821289821291
2020-02-13,es1s,1,2020-02-24,-0.04478164322827172,0,0.04287676904991173,15,1.0,0.5,garch,0.09688367188367189
2020-02-14,es1s,1,2020-02-24,-0.04577048210569823,0,0.04287676904991173,15,1.0,0.5,garch,0.0921976171976172
2020-02-18,es1s,1,2020-02-24,-0.04244268012182517,0,0.04287676904991173,15,1.0,0.5,garch,0.08841491841491841
2020-02-19,es1s,1,2020-02-24,-0.04753118311313598,0,0.04287676904991173,15,1.0,0.5,garch,0.08551864801864802
2020-02-20,es1s,1,2020-02-24,-0.04244268012182517,0,0.04287676904991173,15,1.0,0.5,garch,0.08372183372183373
2020-02-21,es1s,1,2020-02-24,-0.033839934116201564,0,0.04287676904991173,15,1.0,0.5,garch,0.08012820512820512
2020-02-24,es1s,1,2020-02-25,-0.02905850445496272,0,0.04287676904991173,15,1.0,0.5,garch,0.28846153846153844
2020-02-25,es1s,1,2020-02-27,-0.05602553870826865,0,0.04287676904991173,15,1.0,0.5,garch,0.4444444444444444
2020-02-26,es1s,1,2020-02-27,-0.04927256651586298,0,0.04287676904991173,15,1.0,0.5,garch,0.41666666666666663
2020-02-27,es1s,1,2020-03-04,0.053347987824615695,1,0.04287676904991173,15,1.0,0.5,garch,0.3333333333333333
2020-02-28,es1s,1,2020-03-04,0.05548966451816484,1,0.04287676904991173,15,1.0,0.5,garch,0.3333333333333333
2020-03-02,es1s,1,2020-03-03,-0.02218597063392569,0,0.04287676904991173,15,1.0,0.5,garch,0.29166666666666663
2020-03-03,es1s,1,2020-03-09,-0.08316649983295488,0,0.04287676904991173,15,1.0,0.5,garch,0.25666666666666665
2020-03-04,es1s,-1,2020-03-09,0.11782647082216102,1,0.08466462498649932,15,1.0,0.5,garch,0.2583333333333333
2020-03-05,es1s,-1,2020-03-09,0.0887912452319034,1,0.08466462498649932,15,1.0,0.5,garch,0.26111111111111107
2020-03-06,es1s,-1,2020-03-12,0.16700404858408047,1,0.08466462498649932,15,1.0,0.5,garch,0.25666666666666665
2020-03-09,es1s,1,2020-03-12,-0.10144663816016819,0,0.08466462498649932,15,1.0,0.5,garch,0.2583333333333333
2020-03-10,es1s,1,2020-03-11,-0.04379307336601934,0,0.08466462498649932,15,1.0,0.5,garch,0.29166666666666663
2020-03-11,es1s,1,2020-03-12,-0.0989873186767356,0,0.08466462498649932,15,1.0,0.5,garch,0.25
2020-03-12,es1s,1,2020-03-13,0.09194005670399785,1,0.08466462498649932,15,1.0,0.5,garch,0.375
2020-03-13,es1s,1,2020-03-16,-0.10376483679537396,0,0.08466462498649932,15,1.0,0.5,garch,0.5
2020-03-16,es1s,1,2020-03-20,-0.048539652840682845,0,0.08466462498649932,15,1.0,0.5,garch,0.35666666666666663
2020-03-17,es1s,1,2020-03-20,-0.07925970629415469,0,0.08466462498649932,15,1.0,0.5,garch,0.3208333333333333
2020-03-18,es1s,1,2020-03-20,-0.047053924629992805,0,0.08466462498649932,15,1.0,0.5,garch,0.26111111111111107
2020-03-19,es1s,1,2020-03-23,-0.07053160317909146,0,0.08466462498649932,15,1.0,0.5,garch,0.2611111111111111
2020-03-20,es1s,1,2020-03-26,0.1396110989697361,1,0.08466462498649932,15,1.0,0.5,garch,0.33999999999999997
