date,instrument,open,high,low,close,volume,open_interest,flag
1990-08-13,ho1s,0.81955311,0.83563365,0.81733511,0.83230664,0.0,0.0,zero_volume_weekday
1990-08-13,pl1s,488.2570813,497.53396584,488.2570813,494.11616627,0.0,0.0,zero_volume_weekday
1990-08-13,rb1s,0.86099865,0.89745439,0.86099865,0.88780434,0.0,0.0,zero_volume_weekday
1990-08-14,cl1s,23.81440522,23.98918985,22.78317593,23.08904902,0.0,58538.3295165,zero_volume_weekday
1990-08-14,gc1s,398.12165425,398.77893056,386.66626703,388.73199259,0.0,64843.65701918,zero_volume_weekday
1990-08-14,ng1s,1.33034084,1.33034084,1.31758415,1.31940654,0.0,695.79161149,zero_volume_weekday
1990-08-14,si1s,4.95081579,5.09362778,4.91273259,4.96509699,0.0,46185.19649386,zero_volume_weekday
1990-08-28,hg1s,1.50933975,1.51772497,1.47579887,1.47819465,0.0,11405.06632384,zero_volume_weekday
1990-08-29,gc1s,370.89163544,371.17332529,365.72732153,368.73201326,0.0,67476.33974019,zero_volume_weekday
1990-08-29,si1s,4.62044404,4.62509706,4.55995485,4.59531776,0.0,67139.2613209,zero_volume_weekday
1990-10-01,si1s,4.48085359,4.4855066,4.35522218,4.38314027,0.0,75088.94530381,zero_volume_weekday
1991-03-05,ng1s,0.74786412,0.75229591,0.7462022,0.75063399,0.0,3169.82716133,zero_volume_weekday
1991-07-15,ho1s,0.89580338,0.90032004,0.88526452,0.88917895,0.0,0.0,zero_volume_weekday
1991-07-15,pl1s,354.81364364,355.74247517,353.42039635,355.27805941,0.0,0.0,zero_volume_weekday
1991-07-15,rb1s,0.89535424,0.90023165,0.88141876,0.88323038,0.0,0.0,zero_volume_weekday
1991-07-16,cl1s,24.81717802,25.01115137,24.65743527,24.70307606,0.0,37887.16425053,zero_volume_weekday
1991-07-16,hg1s,1.28658916,1.29444219,1.28593474,1.29117009,0.0,12069.47138303,zero_volume_weekday
1991-07-16,ng1s,0.62529914,0.64392507,0.6226383,0.64126423,0.0,1984.33024332,zero_volume_weekday
1991-07-17,gc1s,336.8545863,337.58292054,336.49041918,337.3097952,0.0,51861.9033571,zero_volume_weekday
1991-07-17,si1s,3.87328323,3.90398876,3.87328323,3.90223416,0.0,52829.08396995,zero_volume_weekday
1991-08-29,pl1s,315.80271947,316.731551,314.50235534,314.87388795,0.0,13732.30733168,zero_volume_weekday
1991-11-27,ho1s,0.87141748,0.87835552,0.86586705,0.87641287,0.0,31435.40339171,zero_volume_weekday
1991-11-27,rb1s,0.94744403,0.95552803,0.93855164,0.95197107,0.0,16475.76790763,zero_volume_weekday
1991-11-29,cl1s,25.33282012,25.473558,25.15689775,25.19208223,0.0,57279.24460885,zero_volume_weekday
1991-11-29,ng1s,0.73005788,0.73005788,0.72138736,0.72485557,0.0,13992.81514832,zero_volume_weekday
1992-03-05,gc1s,308.99749385,310.76067499,308.73301668,310.58435687,0.0,60109.53606255,zero_volume_weekday
1992-04-03,hg1s,1.39049293,1.3918364,1.38108863,1.3844473,0.0,18609.25324384,zero_volume_weekday
1992-04-06,gc1s,299.57179568,299.83480867,298.69508572,299.65946668,0.0,60287.89679219,zero_volume_weekday
1992-04-06,si1s,3.44391064,3.49027908,3.43969532,3.4649872,0.0,49264.43306218,zero_volume_weekday
1992-06-08,hg1s,1.39234438,1.39368317,1.38431162,1.39033619,0.0,18207.44954954,zero_volume_weekday
1992-08-31,si1s,3.06161826,3.11093292,3.06161826,3.09613852,0.0,67164.21105346,zero_volume_weekday
1992-10-19,ho1s,0.86066795,0.86198195,0.85081298,0.85173277,0.0,18852.4040453,zero_volume_weekday
1992-10-19,rb1s,0.86544794,0.86689277,0.85099973,0.85461178,0.0,10397.82584868,zero_volume_weekday
1992-10-20,cl1s,25.51532266,25.64266774,25.46901536,25.52689949,0.0,78665.78159806,zero_volume_weekday
1992-10-20,ng1s,1.24171962,1.24919986,1.21179867,1.21628681,0.0,26102.7766817,zero_volume_weekday
1992-10-21,ho1s,0.840958,0.842272,0.81993405,0.82321904,0.0,14612.66793451,zero_volume_weekday
1992-10-21,rb1s,0.85388937,0.85461178,0.8423308,0.84839905,0.0,9230.89951034,zero_volume_weekday
1992-10-22,cl1s,24.97121188,25.09855696,24.64706078,24.71652173,0.0,69065.5675135,zero_volume_weekday
1992-10-22,ng1s,1.16691724,1.17190406,1.13948969,1.16342646,0.0,26030.58647194,zero_volume_weekday
1992-10-27,ho1s,0.81869093,0.82193713,0.80765386,0.80973143,0.0,33402.93071803,zero_volume_weekday
1992-10-27,rb1s,0.85657031,0.85731,0.84399544,0.84591865,0.0,15632.73080054,zero_volume_weekday
1992-10-28,cl1s,24.17241094,24.4734084,24.01033539,24.45025475,0.0,64773.37174365,zero_volume_weekday
1992-10-28,ng1s,1.15445017,1.1793843,1.14696993,1.17738957,0.0,25527.26028717,zero_volume_weekday
1992-11-12,si1s,3.02463227,3.12326158,3.00408449,3.10517954,0.0,46256.83640457,zero_volume_weekday
1992-11-19,ng1s,1.12621032,1.14199831,1.10515965,1.13778818,0.0,31611.36026238,zero_volume_weekday
1992-11-20,ho1s,0.74123024,0.74503793,0.73488409,0.74237255,0.0,37431.35997935,zero_volume_weekday
1992-11-20,rb1s,0.81972344,0.83090148,0.81525222,0.82792067,0.0,17908.54008902,zero_volume_weekday
1992-11-23,cl1s,23.46628141,23.55885057,23.33899882,23.37371226,0.0,68437.48149517,zero_volume_weekday
1992-11-23,ho1s,0.72980717,0.73424948,0.72409564,0.72523795,0.0,38238.93631181,zero_volume_weekday
1992-11-23,ng1s,1.12357898,1.12621032,1.10779099,1.10936979,0.0,31102.11257361,zero_volume_weekday
1992-11-23,pl1s,324.22211391,324.6730487,322.41837475,322.68893563,0.0,9771.92290119,zero_volume_weekday
1992-11-23,rb1s,0.81972344,0.82568506,0.8115262,0.81614646,0.0,18338.62416968,zero_volume_weekday
1992-11-24,cl1s,23.39685455,23.52413714,23.2811431,23.39685455,0.0,66359.89966016,zero_volume_weekday
1992-11-24,ng1s,1.10252832,1.11515872,1.060427,1.0730574,0.0,26338.36647011,zero_volume_weekday
1992-11-30,ho1s,0.73488409,0.74313409,0.71774949,0.71927256,0.0,41079.24136403,zero_volume_weekday
1992-11-30,rb1s,0.80929059,0.82270425,0.79736734,0.79826159,0.0,19788.56441667,zero_volume_weekday
1992-12-01,cl1s,22.91086647,22.99186448,22.54058984,22.57530327,0.0,61916.0869332,zero_volume_weekday
1992-12-01,ng1s,1.10515965,1.11831632,0.97885569,0.99727502,0.0,27803.40366429,zero_volume_weekday
1992-12-14,gc1s,289.33041474,289.41644817,288.5561139,288.5561139,0.0,55529.57926819,zero_volume_weekday
1992-12-28,ho1s,0.74496699,0.74496699,0.72994245,0.73094408,0.0,43727.64892495,zero_volume_weekday
1992-12-28,rb1s,0.82588451,0.82662257,0.81407562,0.81599456,0.0,23286.85522815,zero_volume_weekday
1992-12-29,cl1s,22.75659659,22.7796063,22.53800441,22.59552867,0.0,78359.98466245,zero_volume_weekday
1992-12-29,ng1s,1.05911134,1.06525111,1.01306302,1.04437587,0.0,18288.9412489,zero_volume_weekday
1992-12-30,ho1s,0.71867404,0.72618631,0.71616995,0.72268058,0.0,46989.51157467,zero_volume_weekday
1992-12-30,rb1s,0.80743311,0.81038534,0.80079061,0.80566178,0.0,24962.88012588,zero_volume_weekday
1992-12-31,cl1s,22.56101411,22.60703352,22.41145104,22.43446075,0.0,74523.34241047,zero_volume_weekday
1992-12-31,ho1s,0.71742199,0.71867404,0.71241381,0.71629515,0.0,47255.47637936,zero_volume_weekday
1992-12-31,ng1s,1.0437619,1.05604145,1.03148234,1.03578019,0.0,18119.55395797,zero_volume_weekday
1992-12-31,rb1s,0.80890922,0.81481367,0.805957,0.80817117,0.0,25008.26964412,zero_volume_weekday
1993-01-04,cl1s,22.38844134,22.42295589,21.85921816,21.90523757,0.0,70604.99549794,zero_volume_weekday
1993-01-04,ng1s,1.01920279,1.01920279,0.94245559,0.95412117,0.0,18523.47749789,zero_volume_weekday
1993-01-18,ho1s,0.67172234,0.67485245,0.66546211,0.66771579,0.0,40834.78249075,zero_volume_weekday
1993-01-18,rb1s,0.80079061,0.80079061,0.78971977,0.79591944,0.0,19875.18934903,zero_volume_weekday
1993-01-19,cl1s,21.50034558,21.52312137,21.27258769,21.29536347,0.0,80486.34164073,zero_volume_weekday
1993-01-19,ng1s,0.97142417,0.9810106,0.96183775,0.96375504,0.0,15285.68096772,zero_volume_weekday
1993-01-26,ho1s,0.67692793,0.68930321,0.67630916,0.68719941,0.0,37164.40551933,zero_volume_weekday
1993-01-26,rb1s,0.81245675,0.81822909,0.80524133,0.81216813,0.0,22505.26071434,zero_volume_weekday
1993-01-27,cl1s,22.34304981,22.43415297,22.17223138,22.38860139,0.0,74319.26681455,zero_volume_weekday
1993-01-27,ng1s,1.00657439,1.03085999,1.00337892,1.00657439,0.0,16778.41713757,zero_volume_weekday
1993-01-29,hg1s,1.29627987,1.30149629,1.28975935,1.2904114,0.0,18605.10417531,zero_volume_weekday
1993-02-03,ho1s,0.69425332,0.69549085,0.68559062,0.69276829,0.0,43631.32884015,zero_volume_weekday
1993-02-03,rb1s,0.80524133,0.81029212,0.79874745,0.80596287,0.0,28785.55685789,zero_volume_weekday
1993-02-04,cl1s,22.7985656,23.2426935,22.7985656,23.11742666,0.0,73646.62274267,zero_volume_weekday
1993-02-04,ho1s,0.69796591,0.70724737,0.69672838,0.70118348,0.0,43790.51713131,zero_volume_weekday
1993-02-04,ng1s,1.00976986,1.04172461,1.00976986,1.03405547,0.0,16055.51974714,zero_volume_weekday
1993-02-04,rb1s,0.81101367,0.82039372,0.80884904,0.81678601,0.0,28446.69943604,zero_volume_weekday
1993-02-05,cl1s,23.00354771,23.18575403,22.87828087,23.01493561,0.0,70074.40853323,zero_volume_weekday
1993-02-05,ng1s,1.04811556,1.07623573,1.0423637,1.07240116,0.0,16601.60457237,zero_volume_weekday
1993-02-08,ho1s,0.70167849,0.7066286,0.69920344,0.70167849,0.0,42707.71352643,zero_volume_weekday
1993-02-08,rb1s,0.80668441,0.81029212,0.7980259,0.79889175,0.0,27012.27231289,zero_volume_weekday
1993-02-09,cl1s,22.83272929,22.87828087,22.68468665,22.83272929,0.0,67297.77595451,zero_volume_weekday
1993-02-09,ng1s,1.10563409,1.10882957,1.06089745,1.07751392,0.0,16776.8524246,zero_volume_weekday
1993-02-17,ho1s,0.68682815,0.68868445,0.67012152,0.67606166,0.0,36391.08981047,zero_volume_weekday
1993-02-17,rb1s,0.7554549,0.76411341,0.74823948,0.75141426,0.0,21590.55356334,zero_volume_weekday
1993-02-18,cl1s,21.94447348,22.3658256,21.87614612,22.24055875,0.0,78655.45013958,zero_volume_weekday
1993-02-18,ho1s,0.67197781,0.67940298,0.66888399,0.67507164,0.0,31869.17266648,zero_volume_weekday
1993-02-18,ng1s,1.15509921,1.16151643,1.13263895,1.14418994,0.0,18550.09496242,zero_volume_weekday
1993-02-18,rb1s,0.74968256,0.76339187,0.74751793,0.75170288,0.0,18255.33726202,zero_volume_weekday
1993-02-19,cl1s,22.39998928,22.67329876,22.3544377,22.54803191,0.0,79304.38482512,zero_volume_weekday
1993-02-19,ng1s,1.15509921,1.15509921,1.11338729,1.12429656,0.0,18802.5408112,zero_volume_weekday
1993-02-22,ho1s,0.69494484,0.70111664,0.6930933,0.70062289,0.0,30936.67281416,zero_volume_weekday
1993-02-22,rb1s,0.77192629,0.78382242,0.76862181,0.77536295,0.0,29815.59282068,zero_volume_weekday
1993-02-23,cl1s,23.42489982,23.50461509,23.19714192,23.32240877,0.0,80138.60397432,zero_volume_weekday
1993-02-23,ng1s,1.19360251,1.22248,1.16857537,1.17755947,0.0,19801.41605238,zero_volume_weekday
1993-02-26,ho1s,0.72210076,0.72210076,0.7146946,0.7208664,0.0,43999.30963966,zero_volume_weekday
1993-02-26,pl1s,312.77868237,315.50244448,311.87076167,314.59452378,0.0,9391.78935637,zero_volume_weekday
1993-02-26,rb1s,0.76267375,0.77655256,0.75870838,0.77324808,0.0,35152.2888815,zero_volume_weekday
1993-03-01,cl1s,23.50461509,23.62988193,23.39073614,23.45906351,0.0,79141.05349696,zero_volume_weekday
1993-03-01,ng1s,1.1871853,1.20643695,1.17114225,1.19103563,0.0,23982.35563438,zero_volume_weekday
1993-03-05,ho1s,0.73567872,0.74123335,0.7301241,0.73135846,0.0,45791.33101513,zero_volume_weekday
1993-03-05,rb1s,0.79968392,0.80563198,0.79571854,0.79664379,0.0,37265.3300068,zero_volume_weekday
1993-03-08,cl1s,23.68682141,23.72098509,23.4704514,23.58433035,0.0,73601.83834624,zero_volume_weekday
1993-03-08,ho1s,0.72642102,0.7270382,0.71407742,0.71703988,0.0,43824.32021059,zero_volume_weekday
1993-03-08,ng1s,1.13905616,1.18397669,1.12943034,1.17050053,0.0,19064.33650624,zero_volume_weekday
1993-03-08,rb1s,0.79241406,0.79307496,0.78382242,0.786466,0.0,36837.87986867,zero_volume_weekday
1993-03-09,cl1s,23.51600298,23.65265772,23.43628772,23.55016667,0.0,67507.64792994,zero_volume_weekday
1993-03-09,ho1s,0.7146946,0.72518666,0.7146946,0.71901486,0.0,43868.87770411,zero_volume_weekday
1993-03-09,ng1s,1.19360251,1.24494026,1.1871853,1.23274754,0.0,17841.06495504,zero_volume_weekday
1993-03-09,rb1s,0.7858051,0.79307496,0.78316152,0.78461549,0.0,34244.43018105,zero_volume_weekday
1993-03-10,cl1s,23.72098509,23.77792456,23.11742666,23.21991771,0.0,68949.52986993,zero_volume_weekday
1993-03-10,ho1s,0.7301241,0.73321,0.71222588,0.71654614,0.0,44167.81797877,zero_volume_weekday
1993-03-10,ng1s,1.22889721,1.24814887,1.19681112,1.23595615,0.0,17437.46325853,zero_volume_weekday
1993-03-10,rb1s,0.78977048,0.79439675,0.76531733,0.77205847,0.0,32167.70340377,zero_volume_weekday
1993-03-11,cl1s,23.23130561,23.26546929,22.78717771,22.92383245,0.0,60862.87287516,zero_volume_weekday
1993-03-11,ng1s,1.25777469,1.26419191,1.23531443,1.24814887,0.0,17396.9472581,zero_volume_weekday
1993-04-27,ho1s,0.70501533,0.70755136,0.70121129,0.7017185,0.0,22365.69806169,zero_volume_weekday
1993-06-23,ho1s,0.6564102,0.66203122,0.65266286,0.65915826,0.0,0.0,zero_volume_weekday
1993-06-23,pl1s,340.60603669,347.44551534,340.15007145,346.71597095,0.0,0.0,zero_volume_weekday
1993-06-23,rb1s,0.68946476,0.69706915,0.68502886,0.69364717,0.0,0.0,zero_volume_weekday
1993-06-24,cl1s,20.46513743,20.55185411,20.42177909,20.47597701,0.0,104208.78176123,zero_volume_weekday
1993-07-19,hg1s,1.07902652,1.0981582,1.07775108,1.08604147,0.0,20687.68055021,zero_volume_weekday
1993-08-25,gc1s,315.25231857,316.17705871,313.73910745,315.672655,0.0,127281.37950409,zero_volume_weekday
1993-09-28,pl1s,329.02793329,330.38942819,327.6664384,328.66486799,0.0,10194.30923824,zero_volume_weekday
1993-11-05,ng1s,1.50328527,1.50940863,1.48797686,1.49410022,0.0,32264.95733902,zero_volume_weekday
1993-11-19,ho1s,0.60432794,0.6095779,0.60082797,0.6021113,0.0,36224.03736684,zero_volume_weekday
1993-11-19,pl1s,343.09671389,345.81970368,342.64288226,344.91204042,0.0,13887.30875911,zero_volume_weekday
1993-11-19,rb1s,0.58527803,0.59162595,0.5795649,0.5841354,0.0,27398.74765585,zero_volume_weekday
1993-11-22,cl1s,17.05132468,17.30119755,17.02133994,17.09130434,0.0,107064.44419795,zero_volume_weekday
1993-11-22,ho1s,0.60165158,0.61199516,0.59992765,0.60153665,0.0,53833.39125755,zero_volume_weekday
1993-11-22,pl1s,345.81970368,346.72736695,344.45820878,345.72893735,0.0,14138.50323726,zero_volume_weekday
1993-11-22,rb1s,0.58277147,0.59579083,0.58029159,0.58103555,0.0,37061.49172563,zero_volume_weekday
1993-11-23,cl1s,16.61154843,17.16126875,16.54158403,16.62154335,0.0,106834.3271793,zero_volume_weekday
1993-11-29,rb1s,0.55487284,0.55487284,0.51147496,0.52375036,0.0,46161.13073726,zero_volume_weekday
1993-11-29,si1s,3.64086837,3.64477069,3.43404519,3.50428702,0.0,73618.94964475,zero_volume_weekday
1993-12-01,si1s,3.46916611,3.67598928,3.45745914,3.65803859,0.0,78873.51066417,zero_volume_weekday
1993-12-17,ng1s,1.27723228,1.2901991,1.22212327,1.24481521,0.0,33829.40659906,zero_volume_weekday
1993-12-29,ho1s,0.49776507,0.51134048,0.49776507,0.50896478,0.0,49236.96269822,zero_volume_weekday
1994-01-05,hg1s,1.00514422,1.01395024,1.00451522,1.00766023,0.0,32446.66906699,zero_volume_weekday
1994-01-28,pl1s,344.57861784,347.29183531,342.7698062,345.21170192,0.0,14944.61853793,zero_volume_weekday
1994-04-26,gc1s,309.14868771,310.9667233,308.98341175,310.14034348,0.0,111785.160584,zero_volume_weekday
1994-05-27,si1s,4.2107012,4.27217129,4.20301744,4.20685932,0.0,107723.28370199,zero_volume_weekday
1994-07-05,ng1s,1.41701556,1.42033721,1.41369391,1.4156869,0.0,30415.61380572,zero_volume_weekday
1994-09-16,rb1s,0.51030715,0.5183707,0.51030715,0.51537567,0.0,18649.49170171,zero_volume_weekday
1994-11-22,hg1s,1.68600458,1.68911071,1.64003394,1.64314006,0.0,17215.98521154,zero_volume_weekday
1995-01-25,ho1s,0.55023592,0.55651455,0.54110338,0.54509886,0.0,32267.88960649,zero_volume_weekday
1995-03-29,pl1s,372.03335858,374.22954134,370.27641238,370.80349624,0.0,16501.35897327,zero_volume_weekday
1995-06-05,ho1s,0.55837666,0.56232478,0.55837666,0.55950469,0.0,27131.28260988,zero_volume_weekday
1995-09-05,ng1s,0.58293379,0.58624592,0.56140499,0.56339226,0.0,81352.63505037,zero_volume_weekday
1995-12-22,ho1s,0.64645148,0.64864656,0.63931747,0.64667099,0.0,48874.72435974,zero_volume_weekday
1995-12-22,pl1s,356.81800834,357.25528531,356.29327597,356.73055295,0.0,12645.30347276,zero_volume_weekday
1995-12-22,rb1s,0.776244,0.78598183,0.76928841,0.78000002,0.0,19324.02188743,zero_volume_weekday
1995-12-26,cl1s,22.23588359,22.410146,22.09647366,22.38691102,0.0,75527.47580259,zero_volume_weekday
1995-12-26,ng1s,0.72720553,0.76743392,0.72411104,0.76372053,0.0,120443.04664548,zero_volume_weekday
1996-01-05,ho1s,0.65029287,0.66949984,0.6497441,0.66554869,0.0,53270.91661647,zero_volume_weekday
1996-01-05,pl1s,362.93988593,369.76140668,362.93988593,369.23667432,0.0,22294.79402404,zero_volume_weekday
1996-01-05,rb1s,0.82632426,0.84579991,0.82437669,0.84134833,0.0,21330.32145918,zero_volume_weekday
1996-01-08,cl1s,23.64160037,23.81586278,23.60674789,23.7810103,0.0,71493.90368813,zero_volume_weekday
1996-01-08,hg1s,1.67153115,1.67439337,1.6693845,1.67439337,0.0,17491.37365658,zero_volume_weekday
1996-01-08,ho1s,0.67498754,0.68596295,0.66949984,0.6832191,0.0,52237.69754515,zero_volume_weekday
1996-01-08,pl1s,368.18720959,368.18720959,367.31265564,368.18720959,0.0,22138.14273769,zero_volume_weekday
1996-01-08,rb1s,0.83926166,0.85414662,0.83926166,0.84858215,0.0,21070.81800329,zero_volume_weekday
1996-01-09,cl1s,23.75777531,23.83909777,23.14204813,23.17690061,0.0,68306.46930063,zero_volume_weekday
1996-01-09,gc1s,304.7538645,305.21352342,302.4555699,304.06437612,0.0,118305.98197296,zero_volume_weekday
1996-01-09,ng1s,0.95310342,0.95898296,0.90359156,0.90606715,0.0,122003.8846034,zero_volume_weekday
1996-01-09,si1s,3.8629121,3.90112436,3.821226,3.8608278,0.0,88579.16282446,zero_volume_weekday
1996-03-11,rb1s,0.79946921,0.81246315,0.79878532,0.81136892,0.0,21148.09031951,zero_volume_weekday
1996-05-10,pl1s,354.24480155,354.67892508,352.07418389,352.50830742,0.0,22054.7823591,zero_volume_weekday
1996-11-21,ho1s,1.01779299,1.04050525,1.01495396,1.03922769,0.0,31423.38588281,zero_volume_weekday
1996-11-21,pl1s,332.98936595,333.2466993,331.44536579,332.21736587,0.0,20381.73375515,zero_volume_weekday
1996-11-21,rb1s,1.02905726,1.05411678,1.02905726,1.05298506,0.0,14292.92869854,zero_volume_weekday
1996-11-22,cl1s,42.57747178,43.36230997,42.00668037,42.36342501,0.0,51228.80172519,zero_volume_weekday
1996-11-22,ng1s,1.09743532,1.21643433,1.07594938,1.13610999,0.0,123127.07455604,zero_volume_weekday
1996-12-19,pl1s,321.58092038,322.26386367,320.64187336,320.64187336,0.0,17008.7329605,zero_volume_weekday
1997-02-12,pl1s,306.30006433,321.41018456,305.70248896,317.39789275,0.0,23042.61612025,zero_volume_weekday
1997-02-14,hg1s,1.73170581,1.74217172,1.71479934,1.73412102,0.0,0.0,zero_volume_weekday
1997-02-14,ho1s,0.87909984,0.88930498,0.87108151,0.88653501,0.0,0.0,zero_volume_weekday
1997-02-14,pl1s,315.34906289,317.99546813,313.98317631,317.56862857,0.0,0.0,zero_volume_weekday
1997-02-14,rb1s,1.03945439,1.05504211,1.03863399,1.0542217,0.0,0.0,zero_volume_weekday
1997-05-23,hg1s,2.01576768,2.02340316,1.99710316,2.01491929,0.0,0.0,zero_volume_weekday
1997-05-23,ho1s,0.88961093,0.89191762,0.8811531,0.88392112,0.0,0.0,zero_volume_weekday
1997-05-23,pl1s,328.72083918,330.33429718,325.66376085,329.82478413,0.0,0.0,zero_volume_weekday
1997-05-23,rb1s,1.07608886,1.08769537,1.07111464,1.07608886,0.0,0.0,zero_volume_weekday
1997-08-29,hg1s,1.68106858,1.745958,1.66982108,1.71827185,0.0,0.0,zero_volume_weekday
1997-08-29,ho1s,0.79949704,0.80545788,0.792046,0.79308915,0.0,0.0,zero_volume_weekday
1997-08-29,pl1s,356.55968288,358.30966905,356.12218634,356.7346815,0.0,0.0,zero_volume_weekday
1997-08-29,rb1s,1.18496686,1.20146517,1.17623246,1.18826653,0.0,0.0,zero_volume_weekday
1997-11-17,pl1s,346.78482974,346.78482974,342.74723146,345.88758568,0.0,11935.4370349,zero_volume_weekday
1997-12-24,pl1s,319.68623881,327.35149418,319.68623881,326.90059681,0.0,9655.19038764,zero_volume_weekday
1997-12-29,pl1s,323.74431518,326.90059681,323.74431518,325.54790468,0.0,10452.48932972,zero_volume_weekday
1998-03-23,hg1s,1.35061411,1.38520198,1.35061411,1.37760952,0.0,15703.41031652,zero_volume_weekday
1999-07-12,ho1s,0.49726991,0.5021643,0.49286496,0.50069598,0.0,50912.38284705,zero_volume_weekday
2000-03-29,pl1s,436.33821738,438.19103359,428.00054444,433.28107063,0.0,4876.90033841,zero_volume_weekday
2000-07-10,rb1s,1.66218609,1.71609483,1.64241955,1.70603186,0.0,18280.89538982,zero_volume_weekday
2000-10-17,fesx1s,4595.20293523,4626.56626447,4554.33556683,4557.18677858,0.0,486503.0,zero_volume_weekday
2000-10-23,fesx1s,4704.4993856,4722.55706001,4650.32636238,4716.85463652,0.0,485310.0,zero_volume_weekday
2000-10-23,nq1s,3259.91613431,3320.48339134,3173.72426853,3255.72301652,0.0,38356.0,zero_volume_weekday
2000-10-24,es1s,1216.75649283,1228.36307305,1202.78560924,1206.22459597,0.0,60657.40181766,zero_volume_weekday
2000-10-24,hg1s,1.24683935,1.25473983,1.24252999,1.24324822,0.0,26848.11647983,zero_volume_weekday
2000-10-24,ho1s,1.49659649,1.50635854,1.47932518,1.48488204,0.0,28279.73219941,zero_volume_weekday
2000-10-24,pl1s,550.40761048,550.98194885,539.87807358,540.54813502,0.0,8278.04687521,zero_volume_weekday
2000-10-24,rb1s,2.06635399,2.08667878,2.03473765,2.07719388,0.0,9962.31531037,zero_volume_weekday
2000-10-25,cl1s,57.32983918,57.94832112,56.48801655,56.62545698,0.0,80915.34663392,zero_volume_weekday
2000-10-25,gc1s,170.71971218,170.78236161,167.71253926,167.83783814,0.0,139429.82738533,zero_volume_weekday
2000-10-25,ng1s,0.94137558,0.94805878,0.90795961,0.91101479,0.0,256655.73308485,zero_volume_weekday
2000-11-30,hg1s,1.21986994,1.22342641,1.1992424,1.20279887,0.0,25894.34046594,zero_volume_weekday
2001-01-29,rb1s,2.01385051,2.03363979,1.96961564,1.97380632,0.0,15948.70861256,zero_volume_weekday
2001-03-13,ho1s,1.23338687,1.23389236,1.21990723,1.22833201,0.0,22179.82421446,zero_volume_weekday
2001-03-13,rb1s,1.94606953,1.94606953,1.91879838,1.93341572,0.0,15729.99088025,zero_volume_weekday
