K,silhouette,calinski_harabasz,davies_bouldin
3,0.10044795177169248,0.39869211841232116,2.4880068557176735
4,0.081749066035098,0.26266805380686736,2.720832837695792
5,0.0910808218526758,0.2688451996615474,2.9679573236430086
6,0.10183929976804663,0.3981180343705515,3.5454907383067322
7,0.1129622138131424,0.32771911878736193,4.269311675205059
8,0.1244481837849333,2.7414546709058523,4.063643358913926
9,0.13494510970503024,2.3687885049113264,4.666979894950385
10,0.1523205603085289,4.273592275156322,4.397291761932641
11,0.15823704431019953,3.7969284127543226,4.22849577490402
12,0.1675260684530488,3.406925695552838,4.124335276208651
13,0.18345645190494186,3.081922916163276,3.9933203758243043
14,0.18233183623631313,2.806920997203639,5.329352980289587
15,0.188752992332683,2.571244239235471,5.2899818894086605
