feature,pfi_mean,pfi_std,mdi_mean,shap_signed,shap_magnitude
f1_mr_score_10,-0.0022974136473585703,0.0033907902154938874,0.008951982969201043,9.75386463666451e-05,0.00224235245685866
f1_dist_ma_sigma_10,0.003555898890361275,0.005064876210055421,0.01832413606423777,0.0008302687954037352,0.004699395528501008
f1_ret_reversal_10,0.000567530217852938,0.0019530090405360725,0.009213788655572182,0.0005832318887798159,0.0018906187575872474
f1_hilo_pos_10,0.0002769785543441464,0.003139361154821378,0.009965718266348749,0.0003949838275038737,0.002966073751339763
f1_mr_score_20,-0.0011394482026065565,0.0032012103015703697,0.006554337418387569,7.109982783023534e-05,0.0017047644447643064
f1_dist_ma_sigma_20,0.0018069176872175094,0.0035192336452727815,0.012501253985195271,0.0007123704517004293,0.003295095044562344
f1_ret_reversal_20,-2.6583685653466674e-05,0.0015986481804916603,0.005524527543405888,9.93688360816798e-05,0.0012263365083603874
f1_hilo_pos_20,0.0028102891133641055,0.003137430493828998,0.010653745564791548,0.0002381854634166967,0.0031414309425940507
f1_mr_score_40,0.007851894690258092,0.008165608455675672,0.021220215768509472,0.0009820148245132051,0.0070486356597513344
f1_dist_ma_sigma_40,-0.0012046513045007342,0.002870228347320709,0.007672478790924402,0.0004429166790175385,0.0020439671742601634
f1_ret_reversal_40,-0.0020546608118255988,0.00715196083296005,0.008228496999776392,-0.0017876811339841135,0.003084047994207995
f1_hilo_pos_40,0.0015799076654724625,0.002146048180727442,0.007726546413633009,0.00024604838910230237,0.0021951784512877766
f1_rsi_14,0.00048112325404187117,0.00126575018248188,0.00989712184264241,0.0004963883893414169,0.002370498292649218
f1_bb_pctb_20,0.0006272331719940235,0.0021951326626053515,0.006373934560864673,0.0002693444950135728,0.0015445183215079957
f1_bb_bandwidth_20,-0.002154660550019698,0.0024256217563324006,0.013382025539419298,0.0006656543735164746,0.0029024773919081957
f2_vol_10,-0.00040734605401490735,0.005473486739988905,0.017333310112550057,0.0001584458895443323,0.0050529465256982115
f2_vol_20,2.442405003010807e-05,0.002084466458892433,0.011067837505259446,-2.0314528736856897e-06,0.003123470498063528
f2_vol_60,0.003292543744530792,0.0048640324835104816,0.02386662791661365,-0.0008235282852487519,0.004711445919942248
f2_vol_ratio_20_60,0.009079126486545097,0.007860061259967022,0.024231774295173304,-3.053933749451375e-05,0.008277306734623196
f2_vol_pctile_20,-0.0004621220472848997,0.0019760338034785128,0.007354941469005194,0.00047954016701249816,0.0017976062282974378
f2_vol_of_vol_20,0.008567773712840648,0.01965199999566293,0.039766211756794616,-0.0021699950130814006,0.016717400682898294
f2_parkinson_20,-0.0009728666619127959,0.0017580511281837148,0.00877482805438567,1.7898110635737012e-05,0.0025292421458526244
f2_garman_klass_20,-0.0016694665639624038,0.0020864457046750017,0.006703015764663916,0.00018308915070999076,0.0014944854781670743
f2_atr_14,-2.0265256823245304e-05,0.00178878102351892,0.006768007139039025,0.00021633987798039253,0.001372747409037772
f2_ret_skew_60,-0.001132169519770134,0.0031830112921611194,0.019880905089211906,0.0005106680632348757,0.0062872991259449226
f2_ret_kurt_60,0.006779270889778183,0.006262245262559248,0.02929231767486656,0.002474964846869094,0.007456182598622611
f6_ts_momentum_20,-0.00046610933615714653,0.0017742020668185547,0.006827893661614609,-0.00015446527191572115,0.0015731639377430117
f6_ts_momentum_60,0.001181755822195061,0.0021809308344172265,0.014681386154330808,-0.00048652880916630624,0.003512562772988192
f6_ma_cross_20_60,-0.0032181673147864244,0.006162157430035798,0.01128928998172671,-0.0015682710094326508,0.002722684776556379
f6_macd_12_26,-0.0029648189133294504,0.004012316565076669,0.008847584473904041,-0.0005653247461923922,0.002492516923372901
f6_macd_hist_12_26_9,0.0014106370094425322,0.004574422069251236,0.01562755218839588,0.0006614020189974316,0.003703047466970922
f6_adx_14,-0.002744788509444491,0.004807639502849693,0.013499919129634429,-0.0013601302511261433,0.003279193094605015
f7_volume_z_20,0.008345205411937635,0.004909390752354096,0.018402798487532505,0.00015733937171304887,0.0060591744506905245
f7_volume_trend_20,0.005274870920842021,0.005382086543203028,0.01509321384261848,0.0004306471049474425,0.0055574392486979094
f7_oi_level,-0.0049436357392298935,0.008970656605520332,0.010733376722100643,-0.0010243049368143882,0.0033733905657162065
f7_oi_change,-0.00042836021860558646,0.0017389385942509507,0.006098542652901895,0.00015517942444613625,0.0014150231924230324
f7_oi_z_20,-0.0005797679415370971,0.0021709640786694876,0.008768029830809218,0.0003770515824473928,0.002201544409951359
f7_oi_price_div_20,-0.00024022975135271407,0.0007425819055139044,0.001081239879388421,2.795404688372009e-07,0.0004775968908462483
f10_hl_range,0.00010346609901870346,0.0012016273309997836,0.003195090223199087,6.973677860882018e-05,0.0008265484156989992
f10_hl_range_mean_20,-0.000990783176196737,0.002439928072942401,0.009265296677668183,4.803702570537107e-05,0.0023795208483517534
f10_oto_ret,0.00011807748291490636,0.001323107294931751,0.0035118961875382675,3.416961480085964e-05,0.0008215055247425835
f10_oto_ret_mean_20,-0.0008056278835361941,0.001252187476096812,0.0044280819924405876,-5.616938545640808e-05,0.0010422265571204089
f4_pc1,0.0019239335906979917,0.0031327686510139842,0.010668832237065187,0.0005748017166621965,0.0024159683931650835
f4_pc2,-0.004303214880472956,0.005381486890867659,0.011983061015846294,-0.00010232722687831114,0.0029381249464588326
