feature,shap_magnitude,shap_signed,mdi
f5_signal,0.23736696185679051,0.011933770053950223,0.043350946
f2_vol_60,0.13802078992725902,0.037750354600890414,0.028539628
f11_move_z,0.10026920641621136,-0.03255602699903872,0.026306244
f11_gasoline_stock_surprise,0.0785966849601889,0.006405445365118881,0.032410644
f11_ng_stock_surprise,0.03795319776200678,-0.0029005628336503404,0.02530147
f11_breakeven_10y,0.03516480387935417,0.017893570367804153,0.0121453535
f15_ewma_implied_corr_z,0.030201088733990505,0.0020177372053177688,0.016182516
f2_vol_of_vol_20,0.027178688946082167,-0.010581360839109969,0.017492266
f11_baltic_dry_z,0.02637901981799245,-0.0030805975041922045,0.0143208355
f7_oi_level,0.025897113893022974,-0.024787587313677088,0.012039283
f2_ret_kurt_60,0.022618925420260415,-0.004992898215803029,0.023562456
f11_ig_oas_z,0.02254333693851057,0.019275067163911235,0.010276228
f11_hy_oas_z,0.022238920408713832,0.017063952583866872,0.012641577
f4_pc3,0.019643992368976612,-0.007009760768502638,0.012608727
f11_move_vix_ratio,0.018660258740574167,-0.012867708767768172,0.015121545
f11_dist_stock_surprise,0.016024609267391906,-0.0015629868798109686,0.01050401
f1_dist_ma_sigma_40,0.015721672957388157,0.0007978496318362105,0.016658165
f6_ts_momentum_60,0.015291764076709489,0.004638045768350532,0.0124772955
f11_dxy_z,0.014898305726474109,-0.000497205537505978,0.01473326
f11_us_2s10s_slope,0.014593349250602402,-0.0027547495396531988,0.009355457
f5_long_bias_20,0.014384373548087174,-0.00020093192003931096,0.022041677
f11_ism_pmi_level,0.013841155492911745,0.0032245551816259673,0.011638305
f11_real_yield_10y,0.013796880480188236,0.003495141382711723,0.013502906
f11_vix_term_slope,0.013364365350105155,0.0057600925814758185,0.011657057
f11_baltic_5d_change,0.012635073536367137,0.0010564372684618757,0.014245871
f6_macd_hist_12_26_9,0.012350379701763826,-0.00026463309875996745,0.009560955
f11_china_pmi_level,0.010788932543177136,0.007383676898898836,0.015737059
f1_bb_bandwidth_20,0.010532686234943371,0.004607403745680216,0.016585393
f2_vol_ratio_20_60,0.010462632679657401,-0.0018727971638725428,0.0093664285
f2_ret_skew_60,0.010346913115396046,-0.001787150914568003,0.016177261
f1_mr_score_40,0.009893778423827626,-0.0011149437894060542,0.0067039337
f2_atr_14,0.009652389570771113,-0.0007520520554104499,0.014426375
f4_pc2,0.00928633827921877,0.0023834883519892377,0.013470081
f5_trailing_run_length,0.008950799159353425,2.5797728306919087e-05,0.0071290783
f11_hy_oas_5d_change,0.008369477225600936,0.0042614041765815435,0.006232673
hmm_macro_entropy,0.0083645191195311,0.000536022777714473,0.011925059
f11_crude_stock_surprise,0.007760526654495717,-0.0014057727662219804,0.010462476
f2_vol_10,0.007710228335676722,0.0011462460883864148,0.0060261968
f11_skew_z,0.007516397201017539,7.114816851893785e-06,0.0071441582
f1_ret_reversal_40,0.00732700446107973,-0.000872222609130207,0.010368952
f11_vix_level_z,0.006985458283174226,-0.0006460714540608992,0.011172751
hmm_vol_next_turbulent,0.006973814391161065,-0.0010345618269170939,0.01344121
f12_mra_energy_D5,0.006514292290480034,0.0008919702922932023,0.007210589
f1_hilo_pos_40,0.006486151829693097,0.00217650924665005,0.010176424
f8_month_cos,0.006280676831894361,0.0012790854907980596,0.010113208
f11_dxy_5d_change,0.006236729370953648,0.0018516050858734111,0.00406207
