feature,cluster,mean_coef_abs,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained,pc3_loading,pca_pc3_var_explained
f1_dist_ma_sigma_10,C1_f1,0.008054456867194162,0.30476109113739114,0.7639732751549153,0.03901160400563149,0.0959937430308461,0.22089501318917518,0.055676953056194925
f1_ret_reversal_10,C1_f1,0.02068618795890907,-0.2392238569312505,0.7639732751549153,-0.4310706897113378,0.0959937430308461,0.5620321041504683,0.055676953056194925
f1_hilo_pos_10,C1_f1,0.0057569790447678845,0.28596211875582567,0.7639732751549153,0.0920591424707004,0.0959937430308461,0.41831673275619696,0.055676953056194925
f1_dist_ma_sigma_20,C1_f1,0.007180213793797986,0.3118102189003537,0.7639732751549153,-0.1357882223302622,0.0959937430308461,-0.0057798950996752,0.055676953056194925
f1_hilo_pos_20,C1_f1,0.017212111530963803,0.31495510869435644,0.7639732751549153,-0.040218000090932994,0.0959937430308461,0.15818842310556044,0.055676953056194925
f1_mr_score_40,C1_f1,0.015300642347130241,-0.2849437114943072,0.7639732751549153,-0.18180036279789027,0.0959937430308461,-0.26193111967714927,0.055676953056194925
f1_dist_ma_sigma_40,C1_f1,0.03728561134772943,0.2702876499833788,0.7639732751549153,-0.34614509172682223,0.0959937430308461,-0.355070616138446,0.055676953056194925
f1_hilo_pos_40,C1_f1,0.04893460176646124,0.2827869626014867,0.7639732751549153,-0.3287849108764907,0.0959937430308461,-0.21121018370523303,0.055676953056194925
f1_rsi_14,C1_f1,0.016418332689904728,0.3031613450425951,0.7639732751549153,-0.2216190252295616,0.0959937430308461,-0.3348794284638732,0.055676953056194925
f1_bb_pctb_20,C1_f1,0.013487973966265386,0.31860677309414626,0.7639732751549153,-0.029425610171250675,0.0959937430308461,0.19714838168291082,0.055676953056194925
f6_macd_hist_12_26_9,C1_f1,0.011708938053364088,0.21008797662477288,0.7639732751549153,0.6852480396055145,0.0959937430308461,-0.14340293048744143,0.055676953056194925
f6_donchian_pos_20,C1_f1,0.005261941322754096,0.3161093537909763,0.7639732751549153,-0.06010234551498192,0.0959937430308461,0.1562386689479238,0.055676953056194925
