cluster,mean_drop,std_drop,significant
F5_signal,0.11372582686279106,0.07471397008030033,True
C11_f11,0.030378197801897197,0.05492330029209954,False
C5_f2,0.00924728106062443,0.021374851880287576,False
C9_f11,0.006984402239565739,0.039909644988954725,False
F4_latent,0.003093555156498896,0.007659744743402407,False
C7_f7,0.0028435927270520486,0.005078181147033597,False
F8_calendar,0.0025301264362954487,0.010115838971328756,False
C14_f11,0.001058057132774199,0.010326182987742882,False
C3_f13,0.0007753240232694512,0.004752135026534519,False
C6_f7,0.0001908795912006574,0.0013738262287635666,False
F_instrument,-0.00011584551008764211,0.0006812491905274344,False
C12_f11_lowfreq_macro,-0.000682597882181761,0.0009894339602779813,False
C15_f11_lowfreq_macro,-0.001532441229674005,0.0028477736569391884,False
C13_f11_lowfreq_macro,-0.002171307233163208,0.007339818376649624,False
C10_f11,-0.00338921957855024,0.011289319756960048,False
C1_f1,-0.0043136434210035305,0.007600768645140459,False
C2_f1,-0.005055651409421967,0.0181283520224768,False
C8_f2,-0.009388399244250082,0.01571363109033203,False
C4_f6,-0.011042898316663613,0.025986513950299057,False
