feature,mean_shap_mag,pc1_loading,cluster,pca_pc1_var_explained
f2_vol_60,0.13802078992725902,0.33089597107133206,C5_f2,0.5502334054781459
f2_vol_of_vol_20,0.027178688946082167,0.27513593421756105,C5_f2,0.5502334054781459
f11_us_2s10s_slope,0.014593349250602402,-0.21147199859832247,C5_f2,0.5502334054781459
f11_ism_pmi_level,0.013841155492911745,-0.27637360127841837,C5_f2,0.5502334054781459
f2_vol_10,0.007710228335676722,0.3296657715923345,C5_f2,0.5502334054781459
hmm_vol_next_turbulent,0.006973814391161065,0.30436424779524873,C5_f2,0.5502334054781459
hmm_vol_p0_calm,0.006131411539371216,-0.11446998259097804,C5_f2,0.5502334054781459
f2_parkinson_20,0.0050677289056966605,0.34426430095415356,C5_f2,0.5502334054781459
f2_vol_20,0.0032666415514581923,0.35136995562465684,C5_f2,0.5502334054781459
f10_hl_range,0.00317031097522528,0.25612148266813767,C5_f2,0.5502334054781459
hmm_vol_p2_turbulent,0.0026317423028281986,0.30560971279228716,C5_f2,0.5502334054781459
f2_vol_pctile_20,0.000729624303704482,0.27984020812254545,C5_f2,0.5502334054781459
