cluster,mean_drop,std_drop
F5_signal,0.08264144821817983,0.06444267324887831
F8_calendar,0.003268268336197763,0.00935403106708563
C2_f1,0.0018326896361084248,0.012294012683487796
C12_f11,0.001308331382112885,0.008470049480752202
C4_f11,0.0009128105038104165,0.011438169283276994
C8_f7,0.0005859537489547264,0.010787217141413041
C11_f12,0.0003126084554597227,0.0017966070886299295
C6_f13,-0.00024335558210557344,0.008645507122313335
C13_f11_lowfreq_macro,-0.001601739614723475,0.0038764330265325052
C14_f11_lowfreq_macro,-0.0017053178473314117,0.005443638004596765
F4_latent,-0.0017107742755383467,0.009467373258087568
C3_f2,-0.006451789260385646,0.04414052901480272
C5_f11,-0.006649301448350208,0.012058258003485528
C10_f11,-0.008010851944498661,0.010356169820458942
C9_f11,-0.023964944749607295,0.029225135869531602
C1_f1,-0.024326511264331146,0.040629587189635594
C7_f11,-0.03999427097275441,0.057060637085849575
