feature,pfi_mean,pfi_std,mdi_mean,shap_signed,shap_magnitude
f1_mr_score_10,0.00028092037579738105,0.0009910978527059196,0.0023775854303256486,-4.197413247774906e-05,0.0007319354237338425
f1_dist_ma_sigma_10,0.0010425839169006983,0.0016694444657045636,0.003912321027581047,-0.0004086137082108093,0.0014557980886245902
f1_ret_reversal_10,0.0014269267270091473,0.0020753692977030134,0.006827011132354799,-0.0005339892875343937,0.0032026784720136253
f1_hilo_pos_10,0.0006089767651684817,0.0016274334277444097,0.003936631624340765,-0.00024652646312029657,0.0017850070800319812
f1_mr_score_20,0.0008640876861073748,0.0031464911957061717,0.00610170154196384,-0.000498142921062012,0.0023414152532349746
f1_dist_ma_sigma_20,-0.00042264296972437945,0.0014183230751308913,0.00393581320280163,-5.686433700606765e-05,0.001596796929649182
f1_ret_reversal_20,-0.00225153851090284,0.005439557192852992,0.004574404551707229,9.066971017328545e-05,0.0019488103100508693
f1_hilo_pos_20,-0.00034117744457946446,0.0013923080318829454,0.0027328093039354325,-4.308372885512207e-05,0.0011226049468835814
f1_mr_score_40,-0.001547119146430984,0.0034555889232944057,0.007238818851747461,-0.0009038515075432148,0.0024004380958318424
f1_dist_ma_sigma_40,-0.00412472672815445,0.007894051983654966,0.012387478331208212,0.002280816323824563,0.004662121211957037
f1_ret_reversal_40,-0.0061131761622888435,0.013687974368331147,0.013847248637942322,0.0016740292405512604,0.005534460052250547
f1_hilo_pos_40,-0.00044522615486576014,0.0018077885769142788,0.0025828467644059454,0.0004908458622144573,0.0011811414888896834
f1_rsi_14,-0.001527686922263161,0.004723693948497583,0.007275102556416742,0.0009505210732272135,0.002583458839784292
f1_bb_pctb_20,0.0002580196118939263,0.0016784493536012059,0.004957087850895078,-0.0002374909527125617,0.0019249864985028768
f1_bb_bandwidth_20,-0.0017778965150204227,0.0012961199028800187,0.008046883569865902,0.0017103140950462926,0.0023624327040987513
f2_vol_10,-0.00020660665778806525,0.0025461083571854497,0.006116837388708909,0.0002582556818423399,0.001494470417521642
f2_vol_20,-0.0012261629214641904,0.002846152864780156,0.011768484332219473,0.001669573331146649,0.002678302952461359
