K,silhouette,calinski_harabasz,davies_bouldin
3,0.11412303633379438,0.32430359552438026,5.941561536572376
4,0.12576283934116242,0.5802309449520084,8.689877799788748
5,0.14166669650869332,6.773838249823912,7.418876102308596
6,0.1404959932158513,5.3529905762410115,4.483153107746736
7,0.14726395324278138,4.405781122841201,4.261034444312789
8,0.11026006340901681,3.7291818876416047,4.3959903661532636
9,0.11845632608290398,3.2217556161593635,4.173183689398174
10,0.1212477554418444,2.8270676246838438,4.247523222638167
11,0.13824706992236094,2.51131722939064,4.0729237364505915
12,0.1435648957164839,2.253044446212485,4.026368042141555
13,0.15348575223283886,2.037753610700373,3.9594481382599223
14,0.1625929077095906,1.855584373693766,4.0447330016232845
15,0.15771879909696623,1.6994411694635494,6.956927614291327
