instrument,auc_mean,auc_std,logloss,brier,n_events
gc1s,0.4462258064516129,0.09992375659827288,0.7122522053043755,0.2591716737920923,660
pl1s,0.5583695122611378,0.051736156451326676,0.6869452720463196,0.24688976070908294,1925
si1s,0.5344950686411051,0.06758153611599012,0.6880216594344059,0.24740060910578796,1920
