cluster,mean_drop,std_drop,significant
F5_signal,0.1743685341276739,0.07360158590450096,True
C4_f11,0.06273588536195897,0.04990785569691054,True
C8_f11,0.012351423332781605,0.027397565737021998,False
C6_f11,0.009525096139543332,0.019516510849341234,False
C11_f11,0.0062711500226997185,0.014944101673411527,False
C12_f11_lowfreq_macro,0.0056961407018597384,0.011491855026335504,False
C10_f7,0.0015211911176518504,0.0050127516117661275,False
C3_f6,0.001202007210395545,0.0040824676460978655,False
C9_f11_lowfreq_macro,0.0005283480901034916,0.005531773627938025,False
C7_f12,-4.973953662703439e-05,0.0036905320224899394,False
F8_calendar,-0.00037277310408980076,0.001756886563427667,False
C1_f1,-0.0004544245156075664,0.006434113868328773,False
C14_f11,-0.0006845562118493726,0.005236909559009543,False
F4_latent,-0.0015924564300582272,0.006652055948554936,False
C15_f7,-0.0017559795531021114,0.004120273015774297,False
C13_f11,-0.002305537162889454,0.008064246140745156,False
C2_f6,-0.002803100726450556,0.0053517005826261834,False
C5_f2,-0.002942379972274497,0.006799461623168714,False
