feature,cluster,mean_shap_mag,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained,pc3_loading,pca_pc3_var_explained
f1_dist_ma_sigma_10,C1_f1,0.002179184068887453,0.28260984956455404,0.7855984943475752,-0.13281819565645112,0.0848503845323215,0.3811164454896584,0.04047578760538154
f1_ret_reversal_10,C1_f1,0.01020866878216609,-0.26269494852035974,0.7855984943475752,0.1744688393384076,0.0848503845323215,0.5457910154706924,0.04047578760538154
f1_hilo_pos_10,C1_f1,0.0011114669998178715,0.2805102181524624,0.7855984943475752,-0.21337003384313064,0.0848503845323215,0.304479938266489,0.04047578760538154
f1_mr_score_20,C1_f1,0.0017352112641312479,-0.23363794899467089,0.7855984943475752,0.5158391290414284,0.0848503845323215,-0.36782987645235754,0.04047578760538154
f1_dist_ma_sigma_20,C1_f1,0.00014559933371304429,0.2908078592405168,0.7855984943475752,0.15149779385697024,0.0848503845323215,0.1723797608628033,0.04047578760538154
f1_hilo_pos_20,C1_f1,0.004300706813937812,0.3011811998673612,0.7855984943475752,0.059124963481352814,0.0848503845323215,-0.06152134720567889,0.04047578760538154
f1_mr_score_40,C1_f1,0.002040125783075305,-0.2729124262569316,0.7855984943475752,0.10539048025706493,0.0848503845323215,0.12452786382181336,0.04047578760538154
f1_dist_ma_sigma_40,C1_f1,0.0047513501779599095,0.2399124593558115,0.7855984943475752,0.4787436731030259,0.0848503845323215,0.06292796263254334,0.04047578760538154
f1_hilo_pos_40,C1_f1,0.01000131725609321,0.2725448740882435,0.7855984943475752,0.39862202004277036,0.0848503845323215,-0.14079058066127248,0.04047578760538154
f1_rsi_14,C1_f1,0.009264692173464529,0.296488651607485,0.7855984943475752,0.2572399473942738,0.0848503845323215,0.0422289457976371,0.04047578760538154
f1_bb_pctb_20,C1_f1,0.008388312809448458,0.3046561285397295,0.7855984943475752,0.01816723045966269,0.0848503845323215,0.033802423726946855,0.04047578760538154
f6_macd_hist_12_26_9,C1_f1,0.003971567333850254,0.2554166139910014,0.7855984943475752,-0.37795865510191,0.0848503845323215,-0.5029194853150963,0.04047578760538154
f6_donchian_pos_20,C1_f1,0.0032586399535590605,0.30048731131308376,0.7855984943475752,0.07279061249526748,0.0848503845323215,-0.014591507780737407,0.04047578760538154
