cluster,mean_drop,std_drop
C10_f11_lowfreq_macro,0.05220352468189963,0.06324106279257623
C3_f2,0.024304559874524626,0.04386132426823435
C15_f11,0.008793923518500462,0.022565484097024822
C1_f1,0.0033419617014444894,0.0063135278279040355
C11_f7,0.0018386560101473104,0.0035269710585903243
C4_f7,0.0016181033873664406,0.004048498647387533
C9_f7,0.0013685473825631525,0.022553083615904773
C8_f13,-0.0006315481962258751,0.0016734277688302682
C14_f11_lowfreq_macro,-0.0006627075820953095,0.008911911683987014
C12_f11_lowfreq_macro,-0.0008378201765750629,0.01633309458819587
F4_latent,-0.0015149351753171733,0.005720382811210634
C13_f11_lowfreq_macro,-0.001710050909017225,0.004577158034998397
C6_f11,-0.0018008764875467344,0.020265490675502085
F5_signal,-0.0061767945394052065,0.027602597228504475
C7_f11,-0.00833145886321363,0.02969422897526625
F8_calendar,-0.010052375591705494,0.016226111920819766
C5_f6,-0.010295300640455078,0.02085788763614886
C2_f1,-0.014910350947017242,0.02932970596545956
