date,instrument,hmm_macro_p0,hmm_macro_next_riskoff,hmm_macro_entropy
2020-01-03,cl1s,0.9992984431993368,0.0176700997476871,0.0057961625474084
2020-01-03,es1s,0.9992984431993368,0.0176700997476871,0.0057961625474084
2020-01-03,fesx1s,0.9992984431993368,0.0176700997476871,0.0057961625474084
2020-01-03,gc1s,0.9992984431993368,0.0176700997476871,0.0057961625474084
2020-01-03,hg1s,0.9992984431993368,0.0176700997476871,0.0057961625474084
2020-01-03,ho1s,0.9992984431993368,0.0176700997476871,0.0057961625474084
2020-01-03,ng1s,0.9992984431993368,0.0176700997476871,0.0057961625474084
2020-01-03,nq1s,0.9992984431993368,0.0176700997476871,0.0057961625474084
2020-01-03,pl1s,0.9992984431993368,0.0176700997476871,0.0057961625474084
2020-01-03,rb1s,0.9992984431993368,0.0176700997476871,0.0057961625474084
2020-01-03,si1s,0.9992984431993368,0.0176700997476871,0.0057961625474084
2020-01-06,cl1s,0.9996967763970488,0.0172869738872746,0.0027596041809998
2020-01-06,es1s,0.9996967763970488,0.0172869738872746,0.0027596041809998
2020-01-06,fesx1s,0.9996967763970488,0.0172869738872746,0.0027596041809998
2020-01-06,gc1s,0.9996967763970488,0.0172869738872746,0.0027596041809998
2020-01-06,hg1s,0.9996967763970488,0.0172869738872746,0.0027596041809998
2020-01-06,ho1s,0.9996967763970488,0.0172869738872746,0.0027596041809998
2020-01-06,ng1s,0.9996967763970488,0.0172869738872746,0.0027596041809998
2020-01-06,nq1s,0.9996967763970488,0.0172869738872746,0.0027596041809998
2020-01-06,pl1s,0.9996967763970488,0.0172869738872746,0.0027596041809998
2020-01-06,rb1s,0.9996967763970488,0.0172869738872746,0.0027596041809998
2020-01-06,si1s,0.9996967763970488,0.0172869738872746,0.0027596041809998
2020-01-07,cl1s,0.9995029551121544,0.0174733955738627,0.004277857413304
2020-01-07,es1s,0.9995029551121544,0.0174733955738627,0.004277857413304
2020-01-07,fesx1s,0.9995029551121544,0.0174733955738627,0.004277857413304
2020-01-07,gc1s,0.9995029551121544,0.0174733955738627,0.004277857413304
2020-01-07,hg1s,0.9995029551121544,0.0174733955738627,0.004277857413304
2020-01-07,ho1s,0.9995029551121544,0.0174733955738627,0.004277857413304
2020-01-07,ng1s,0.9995029551121544,0.0174733955738627,0.004277857413304
