date,instrument,hmm_vol_p0_calm,hmm_vol_p2_turbulent,hmm_vol_next_turbulent,hmm_vol_entropy
2020-01-03,cl1s,0.4652254652437083,0.05904790217949906,0.06432565484096714,0.8764994104748329
2020-01-03,es1s,0.717468283501798,0.00042296850893467925,0.004581222979425668,0.5985023027807242
2020-01-03,fesx1s,0.8254619955186481,0.0003663821324674441,0.002638387527012048,0.4656345215519929
2020-01-03,gc1s,0.5348788230141128,0.005770077043571364,0.012681917535860565,0.7217746790391112
2020-01-03,hg1s,0.9479438531273917,0.0015638721015949187,0.0031078786280030637,0.21154726726830245
2020-01-03,ho1s,0.8602148822017975,0.03734156114789068,0.039580048682577564,0.4857029416969321
2020-01-03,ng1s,0.0010947043872910033,0.03729083269780055,0.05266263075133371,0.1677519349403285
2020-01-03,nq1s,0.8717820897406127,7.412106194351511e-05,0.0020343561815325726,0.3836116627137297
2020-01-03,pl1s,0.005787904347899652,0.11071107892375694,0.1184429168776656,0.38290855307876936
2020-01-03,rb1s,0.759722927927931,0.00035691189083574703,0.001193562586523004,0.5540799709903297
2020-01-03,si1s,0.9082496114359659,0.0002940974045630946,0.0016899245605788333,0.30855158877522937
2020-01-06,cl1s,0.0824901615034691,0.15216264664390355,0.1575905474348227,0.6969853885892743
2020-01-06,es1s,0.5266736500034933,0.0014779706697457427,0.008409581248219609,0.7017257813577532
2020-01-06,fesx1s,0.6728696277501096,0.0006820956246338024,0.00478872220252086,0.6370196806352558
2020-01-06,gc1s,0.08559771746491536,0.08323009108284375,0.09387225281143846,0.5710285936259212
2020-01-06,hg1s,0.9955806380140901,1.0276399314114257e-05,0.0013377755738121122,0.028442881472475822
2020-01-06,ho1s,0.3755361649573163,0.3436135467335402,0.3371564521467326,1.0915224394844643
2020-01-06,ng1s,0.0009211999776874272,0.05212092207856333,0.06694173105808959,0.2120239157437585
2020-01-06,nq1s,0.7131166616046675,0.00030064528184111207,0.0046810648081542896,0.6017006199323756
2020-01-06,pl1s,0.0011353722188074484,0.5834124450426041,0.5576404949582779,0.6870049853461588
