instrument,auc_mean,auc_std,logloss,brier,n_events
cl1s,0.5947,0.11882330637535694,0.6486627589858774,0.22845939589762881,2025
ho1s,0.7060000000000001,0.18814734999432092,0.632046858508386,0.22034774402228602,305
ng1s,0.4410350678733032,0.15281972709974542,0.717847889313853,0.26203918251306535,600
rb1s,0.5886848304369083,0.12142084448318556,0.6932853066401449,0.24886094357433133,3000
