instrument,auc_mean,auc_std,logloss,brier,n_events
cl1s,0.506828731492597,0.040531368501537185,0.9476022247053996,0.31921702300279403,1435
ho1s,0.33399999999999996,0.1662047613910731,1.1768342339952038,0.35005060562010765,170
ng1s,0.6575510204081633,0.13885726213126087,0.7062067730040928,0.2466145789819738,140
rb1s,0.5436262759402875,0.06896743816330089,0.7164561266259547,0.23264469746223948,2120
