feature,cluster,mean_shap_mag,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained,pc3_loading,pca_pc3_var_explained
f1_dist_ma_sigma_10,C1_f1,0.003765962186515959,0.3264055225681938,0.7989720488064379,-0.04872068078254132,0.05929941598525062,0.2467759082297322,0.05381096325884323
f1_ret_reversal_10,C1_f1,0.001374678547419497,-0.3108504407857922,0.7989720488064379,-0.2242296165052897,0.05929941598525062,0.27747514188042094,0.05381096325884323
f1_hilo_pos_10,C1_f1,0.0049062114235882874,0.3076451071831357,0.7989720488064379,-0.003575532380650691,0.05929941598525062,0.4994026607400722,0.05381096325884323
f1_mr_score_20,C1_f1,0.001318749241721206,-0.28830327022945534,0.7989720488064379,-0.4994491231039324,0.05929941598525062,-0.4827355093243776,0.05381096325884323
f1_dist_ma_sigma_20,C1_f1,0.004776236298797634,0.3295455164329563,0.7989720488064379,-0.2844816671533594,0.05929941598525062,-0.12103170500285909,0.05381096325884323
f1_hilo_pos_20,C1_f1,0.003322250769358584,0.3305140169869225,0.7989720488064379,-0.3229007973335786,0.05929941598525062,-0.030287799999030807,0.05381096325884323
f1_mr_score_40,C1_f1,0.006139339648014398,-0.2990827475370414,0.7989720488064379,-0.0497366936547124,0.05929941598525062,0.5203631447894657,0.05381096325884323
f1_bb_pctb_20,C1_f1,0.002860268145223983,0.34192708292887514,0.7989720488064379,-0.20751686745266462,0.05929941598525062,0.028225572468965277,0.05381096325884323
f6_macd_hist_12_26_9,C1_f1,0.0009490979439133118,0.2932034407460941,0.7989720488064379,0.5908519020787864,0.05929941598525062,-0.3041267534336683,0.05381096325884323
f6_donchian_pos_20,C1_f1,0.00205005563644669,0.3299916821614474,0.7989720488064379,-0.3435803549632597,0.05929941598525062,-0.00624621835473508,0.05381096325884323
