cluster,mean_drop,std_drop,significant
C15_f2,0.04231382519988747,0.025078134995445575,True
F5_signal,0.022590257332383214,0.018952906251207217,True
C1_f1,0.02178313733650422,0.016628731993763714,True
C13_f12,0.0016459243017033422,0.0071813601291993625,False
C6_f11_lowfreq_macro,0.001110007993892552,0.002535274880969718,False
C2_f1,0.0004653883091158139,0.0072256100004574626,False
C10_f7,-0.00020426866991596855,0.0045512330729771434,False
C4_f11,-0.0003194195230355774,0.006775354324256979,False
F8_calendar,-0.00037877528052395897,0.001307894859978564,False
C14_f11_lowfreq_macro,-0.0004986706497008482,0.0030982902799660448,False
C7_f11,-0.0008032047451884824,0.008889089972704456,False
C8_f11,-0.0008469775304384033,0.0025973201708796665,False
C11_f11,-0.001001230564965871,0.0050735753596730365,False
C9_hmm_vol,-0.001696026098262946,0.009383315412281662,False
C5_f11,-0.0023579008050198455,0.006604120710778752,False
F4_latent,-0.0034321283091641075,0.00658372953418431,False
C12_f1,-0.008061101960888311,0.010353469759693463,False
C3_f2,-0.009268752423843167,0.018519134431383682,False
