cluster,mean_drop,std_drop
C3_f2,0.029614437273400265,0.029689783066574316
C5_f6,0.01312350079458988,0.01182392347192594
C15_f11_lowfreq_macro,0.008538858510152004,0.012541353762713118
C12_f11_lowfreq_macro,0.0065883832149990825,0.0050888553960062545
C4_f2,0.00473200091672871,0.003769572017571442
C14_f11_lowfreq_macro,0.0036428289166412836,0.007558014335152323
F5_signal,0.002732209713544177,0.006301597144796822
C8_f7,0.0003406017154052165,0.013699318278650263
C11_f2,-6.835846544359419e-05,0.0037784448919078485
C10_f7,-0.0002657094303228502,0.00116711165690389
F8_calendar,-0.0006912766227030228,0.0023609845093509703
C7_f13,-0.0021096381995665014,0.004350398817236875
F4_latent,-0.002436313650780828,0.005929483672249045
C1_f1,-0.004021468571921821,0.004555580282064038
C13_f11,-0.005749778569953918,0.024618015889679743
C9_f11,-0.00587694454063901,0.008026519644531374
C6_f11,-0.012054075694489847,0.012898284815304922
C2_f1,-0.0216003537732099,0.0379072092598159
