,value
n,179.0
total_return,0.12945321443534707
ann_return,0.17288599461645932
ann_vol,0.05403582913089207
sharpe,3.1994696370379385
sortino,6.028892536848063
max_dd,-0.02327470653172503
turnover_per_year,16.57366480478193
avg_holding_days,6.637853949329359
total_cost_bps,142.05998404098796
gross_ann_return,0.19286715143230926
net_ann_return,0.17288599461645932
