,net_ret
2021-10-21,0.0010292530768788975
2021-10-22,-0.016251638250789822
2021-10-25,0.0004809071655848772
2021-10-26,-0.0020462900256805368
2021-10-27,0.006719050776207029
2021-10-28,0.0033509879943877155
2021-10-29,0.002218496716017531
2021-11-01,-0.0032286785010922593
2021-11-02,0.0019513645286506384
2021-11-03,-0.008030270902446448
2021-11-04,0.010616518096760038
2021-11-05,0.0022356209805667274
2021-11-08,0.010976998544082234
2021-11-09,-0.010609424139384644
2021-11-10,0.004311283349632539
2021-11-11,0.0027284692737468553
2021-11-12,-0.0017459214507927821
2021-11-15,0.007564602477728835
2021-11-16,-0.006813136723743209
2021-11-17,0.0030298002656901244
2021-11-18,-0.02003033391729111
2021-11-19,-0.002671883364294624
2021-11-22,0.007338484150587106
2021-11-23,-0.0014979378113449114
2021-11-24,0.00015866937689227022
2021-11-25,-0.04176830453819732
2021-11-26,0.029471834653594303
2021-11-29,-0.02374492429475866
2021-11-30,0.0043217544617657495
2021-12-01,0.00956311037123013
2021-12-02,-0.01104472065387824
2021-12-03,0.022300504985312632
2021-12-06,0.01933781671057524
2021-12-07,-0.001118137608153972
2021-12-08,-0.01312184063825221
2021-12-09,-0.003676036795696218
2021-12-10,-0.005254037853783235
2021-12-13,-0.0013773244848681895
2021-12-14,-0.0029687777893319784
2021-12-15,0.014016815930369405
2021-12-16,-0.008521758813064547
2021-12-17,-0.013835867633755279
2021-12-20,0.02145012037538382
2021-12-21,0.01021474835558956
2021-12-22,0.006839682420938554
2021-12-23,-0.00048198997224240003
2021-12-24,0.007889133955178096
2021-12-27,0.0032929938862509946
2021-12-28,0.0010341552088889922
2021-12-29,0.002122032121173857
2021-12-30,-0.005811681347341586
2021-12-31,0.0009781117574850394
2022-01-03,0.0023819171007806914
2022-01-04,0.001236292971990861
2022-01-05,0.002722649729402666
2022-01-06,-0.001268311210681591
2022-01-07,-0.0010652842827826884
2022-01-10,0.004158868485803727
2022-01-11,0.0010536723649877374
2022-01-12,-0.0009363384920665278
2022-01-13,0.002290088501050715
2022-01-14,0.0009006754604355033
2022-01-17,0.001980996838569348
2022-01-18,0.004926887854814592
2022-01-19,-0.0008256252254273061
2022-01-20,-0.007094704524804178
2022-01-21,-0.0026682076091124854
2022-01-24,-0.006498166072231553
2022-01-25,0.004711179527509392
2022-01-26,-0.006879478185004718
2022-01-27,0.00454720111023544
2022-01-28,0.00019275219813823165
2022-01-31,0.006516481761854052
2022-02-01,-0.011578776668465773
2022-02-02,0.015087566784010154
2022-02-03,-0.0006548706347433422
2022-02-04,0.006913893290958505
2022-02-07,-0.0005152747941428144
2022-02-08,-0.002319186145368515
2022-02-09,-0.0004685765031370044
2022-02-10,0.005005497411836655
2022-02-11,-0.0002604943893752514
2022-02-14,-0.00031179701482665346
2022-02-15,0.0027921759031749194
2022-02-16,-0.003004609697098922
2022-02-17,0.0003057235404817289
2022-02-18,-0.00013780052621916396
2022-02-21,0.0011941311639945935
2022-02-22,-0.0078015917258062294
2022-02-23,0.015178867003293822
2022-02-24,0.011359594134476741
2022-02-25,0.007412566691872566
2022-02-28,0.00653904177852542
2022-03-01,-0.001748727273702573
2022-03-02,-0.005169088003744129
2022-03-03,-0.003849634088709037
2022-03-04,-0.000818163998359948
2022-03-07,0.0026707018052086525
2022-03-08,0.011397260976447924
2022-03-09,-0.0033382355068396234
2022-03-10,-0.00030885726721303436
2022-03-11,0.0
2022-03-14,0.017103769768438883
2022-03-15,0.01943822043407835
2022-03-16,0.009632654161734441
2022-03-17,1.2383472336555536e-05
2022-03-18,-0.004883989154803607
2022-03-21,0.0004893814389967025
2022-03-22,-0.003009932889961972
2022-03-23,0.003980240056550548
2022-03-24,-0.005584266433150747
2022-03-25,0.004714565649595721
2022-03-28,0.002890458664056341
2022-03-29,0.0026478442933739487
2022-03-30,-0.0001589084105461235
2022-03-31,0.0003266628802355143
2022-04-01,0.0014965168177062415
2022-04-04,-0.00019105493839661127
2022-04-05,-0.004154292137830731
2022-04-06,-0.0007762108023671253
2022-04-07,0.00489178875756415
2022-04-08,-0.0004261345194176715
2022-04-11,0.0005208463608743344
2022-04-12,-0.0008962396868125715
2022-04-13,0.0033097690035904063
2022-04-14,-0.00030436275663252304
2022-04-15,-0.0012142650845030016
2022-04-18,-0.004414561500853138
2022-04-19,0.0020156467040878655
2022-04-20,-0.00017388322995741992
2022-04-21,0.003963350258522491
2022-04-22,-0.001474069124401514
2022-04-25,0.00710162908757269
2022-04-26,-9.16707689710133e-05
2022-04-27,0.0037755188207546256
2022-04-28,0.00810657387332993
2022-04-29,-0.0057080494934623124
2022-05-02,-0.001798305463481479
2022-05-03,-0.0012619795183123354
2022-05-04,0.010963187042686333
2022-05-05,0.0067857480664592846
2022-05-06,-0.000963017719868426
2022-05-09,-0.006197315813315808
2022-05-10,0.003037851829337695
2022-05-11,-0.004881304879748671
2022-05-12,0.015221279121989803
2022-05-13,0.0009882104656718396
2022-05-16,0.004641263829839924
2022-05-17,-0.02292327150243063
2022-05-18,0.004970869606005726
2022-05-19,-8.800848469555066e-05
2022-05-20,3.8924418702995895e-06
2022-05-23,-0.00030874138752974746
2022-05-24,0.0003303038994119903
2022-05-25,0.006407046950075714
2022-05-26,0.0036452863865204617
2022-05-27,-0.0001269127214605052
2022-05-30,-0.00026895265776170056
2022-05-31,-0.009325110717658519
2022-06-01,0.0077944708816278276
2022-06-02,-0.0022569935004167993
2022-06-03,-0.0035151135694682168
2022-06-06,0.000806489684691992
2022-06-07,0.0016796324207948503
2022-06-08,-0.00650282526056597
2022-06-09,-0.0012981002361563431
2022-06-10,0.0002862968472675826
2022-06-13,-0.004786295090849623
2022-06-14,0.0012021444452293703
2022-06-15,0.0017884440271809469
2022-06-16,-0.007695244715204855
2022-06-17,-0.0005465157934006259
2022-06-20,-0.0011683655365532363
2022-06-21,-0.002850968495281681
2022-06-22,-0.0018067228071846591
2022-06-23,0.009035809528535154
2022-06-24,0.0007102654519859056
2022-06-27,0.009031024643651702
2022-06-28,-0.002541386682466263
2022-06-29,0.0030354889191498043
