instrument,variant,pool,n_pool_members,model,n_modelling,n_oos_for_instrument,mean_auc,std_auc,sem,is_champion
ng1s,with_bbg,energy_all,4,random_forest,668,140,0.464129,0.235860,0.068087,False
ng1s,with_bbg,energy_all,4,lightgbm,668,140,0.492538,0.257424,0.074312,False
ng1s,with_bbg,energy_all,4,xgboost,668,140,0.484449,0.260828,0.075294,False
ng1s,with_bbg,energy_all,4,multitask_nn,668,140,0.403893,0.235378,0.067948,False
gc1s,with_bbg,precious,3,elasticnet_logistic,797,566,0.497081,0.127802,0.034157,False
gc1s,with_bbg,precious,3,random_forest,797,566,0.503871,0.075876,0.020279,False
gc1s,with_bbg,precious,3,lightgbm,797,566,0.506866,0.073872,0.019743,False
gc1s,with_bbg,precious,3,xgboost,797,566,0.520924,0.078411,0.020956,False
gc1s,with_bbg,precious,3,multitask_nn,797,566,0.547058,0.092955,0.024843,False
gc1s,with_bbg,metals_all,4,elasticnet_logistic,1174,566,0.452639,0.083145,0.022221,False
gc1s,with_bbg,metals_all,4,random_forest,1174,566,0.545683,0.114066,0.030485,False
gc1s,with_bbg,metals_all,4,lightgbm,1174,566,0.566321,0.074061,0.019794,True
gc1s,with_bbg,metals_all,4,xgboost,1174,566,0.539015,0.083213,0.022240,False
gc1s,with_bbg,metals_all,4,multitask_nn,1174,566,0.538746,0.100299,0.026806,False
si1s,with_bbg,si1s,1,elasticnet_logistic,340,1584,0.492472,0.059137,0.015805,False
si1s,with_bbg,si1s,1,random_forest,340,1584,0.461714,0.051992,0.013896,False
si1s,with_bbg,si1s,1,lightgbm,340,1584,0.487247,0.047607,0.012724,False
si1s,with_bbg,si1s,1,xgboost,340,1584,0.481378,0.048033,0.012837,False
si1s,with_bbg,precious,3,elasticnet_logistic,797,1578,0.476831,0.046533,0.012437,False
si1s,with_bbg,precious,3,random_forest,797,1578,0.457545,0.052830,0.014119,False
si1s,with_bbg,precious,3,lightgbm,797,1578,0.454165,0.047543,0.012706,False
si1s,with_bbg,precious,3,xgboost,797,1578,0.462813,0.044086,0.011783,False
si1s,with_bbg,precious,3,multitask_nn,797,1578,0.464265,0.076672,0.020491,False
si1s,with_bbg,metals_all,4,elasticnet_logistic,1174,1581,0.449632,0.038596,0.010315,False
si1s,with_bbg,metals_all,4,random_forest,1174,1581,0.476050,0.057303,0.015315,False
si1s,with_bbg,metals_all,4,lightgbm,1174,1581,0.466520,0.060614,0.016200,False
si1s,with_bbg,metals_all,4,xgboost,1174,1581,0.463757,0.063958,0.017093,False
si1s,with_bbg,metals_all,4,multitask_nn,1174,1581,0.512120,0.044542,0.011904,True
pl1s,with_bbg,pl1s,1,elasticnet_logistic,339,1580,0.545331,0.043750,0.011693,False
pl1s,with_bbg,pl1s,1,random_forest,339,1580,0.517753,0.060512,0.016173,False
pl1s,with_bbg,pl1s,1,lightgbm,339,1580,0.563742,0.052279,0.013972,True
pl1s,with_bbg,pl1s,1,xgboost,339,1580,0.555820,0.058083,0.015523,False
pl1s,with_bbg,precious,3,elasticnet_logistic,797,1572,0.519798,0.042135,0.011261,False
pl1s,with_bbg,precious,3,random_forest,797,1572,0.514857,0.061726,0.016497,False
