instrument,variant,pool,n_pool_members,model,n_modelling,n_oos_for_instrument,mean_auc,std_auc,sem,is_champion
si1s,simulated_missingness,precious,3,elasticnet_logistic,797,1578,0.468431,0.044282,0.011835,False
si1s,simulated_missingness,precious,3,random_forest,797,1578,0.473163,0.048744,0.013027,False
si1s,simulated_missingness,precious,3,lightgbm,797,1578,0.476953,0.039731,0.010619,False
si1s,simulated_missingness,precious,3,xgboost,797,1578,0.481643,0.050793,0.013575,False
si1s,simulated_missingness,precious,3,multitask_nn,797,1578,0.461548,0.064823,0.017325,False
si1s,simulated_missingness,metals_all,4,elasticnet_logistic,1174,1581,0.446503,0.039406,0.010532,False
si1s,simulated_missingness,metals_all,4,random_forest,1174,1581,0.484740,0.047253,0.012629,False
si1s,simulated_missingness,metals_all,4,lightgbm,1174,1581,0.477456,0.043473,0.011619,False
si1s,simulated_missingness,metals_all,4,xgboost,1174,1581,0.485139,0.071049,0.018989,False
si1s,simulated_missingness,metals_all,4,multitask_nn,1174,1581,0.510926,0.049694,0.013281,False
pl1s,simulated_missingness,pl1s,1,elasticnet_logistic,339,1580,0.553955,0.051919,0.013876,True
pl1s,simulated_missingness,pl1s,1,random_forest,339,1580,0.522616,0.069091,0.018465,False
pl1s,simulated_missingness,pl1s,1,lightgbm,339,1580,0.555272,0.046469,0.012419,False
pl1s,simulated_missingness,pl1s,1,xgboost,339,1580,0.556188,0.052444,0.014016,False
pl1s,simulated_missingness,precious,3,elasticnet_logistic,797,1572,0.524176,0.054220,0.014491,False
pl1s,simulated_missingness,precious,3,random_forest,797,1572,0.515017,0.064511,0.017241,False
pl1s,simulated_missingness,precious,3,lightgbm,797,1572,0.527902,0.064647,0.017278,False
pl1s,simulated_missingness,precious,3,xgboost,797,1572,0.528231,0.067410,0.018016,False
pl1s,simulated_missingness,precious,3,multitask_nn,797,1572,0.521380,0.070927,0.018956,False
pl1s,simulated_missingness,metals_all,4,elasticnet_logistic,1174,1576,0.528379,0.046910,0.012537,False
pl1s,simulated_missingness,metals_all,4,random_forest,1174,1576,0.525119,0.046372,0.012393,False
pl1s,simulated_missingness,metals_all,4,lightgbm,1174,1576,0.531175,0.048212,0.012885,False
pl1s,simulated_missingness,metals_all,4,xgboost,1174,1576,0.546135,0.051636,0.013800,False
pl1s,simulated_missingness,metals_all,4,multitask_nn,1174,1576,0.538336,0.037213,0.009946,False
hg1s,simulated_missingness,hg1s,1,elasticnet_logistic,377,1756,0.489346,0.083728,0.022377,False
hg1s,simulated_missingness,hg1s,1,random_forest,377,1756,0.502867,0.065443,0.017490,False
hg1s,simulated_missingness,hg1s,1,lightgbm,377,1756,0.516260,0.059046,0.015781,False
hg1s,simulated_missingness,hg1s,1,xgboost,377,1756,0.476760,0.066202,0.017693,False
hg1s,simulated_missingness,metals_all,4,elasticnet_logistic,1174,1753,0.530244,0.060895,0.016275,True
hg1s,simulated_missingness,metals_all,4,random_forest,1174,1753,0.502368,0.072110,0.019272,False
hg1s,simulated_missingness,metals_all,4,lightgbm,1174,1753,0.526831,0.050287,0.013440,False
hg1s,simulated_missingness,metals_all,4,xgboost,1174,1753,0.510591,0.055130,0.014734,False
hg1s,simulated_missingness,metals_all,4,multitask_nn,1174,1753,0.497559,0.048366,0.012926,False
