,gross_ret
2021-10-22,0.0
2021-10-25,4.733183341979213e-05
2021-10-26,-0.0003475820742799252
2021-10-27,0.0016443529602807778
2021-10-28,0.00196652713150529
2021-10-29,0.0008108686172868162
2021-11-01,-0.0008358598890884145
2021-11-02,-0.0004895109496105501
2021-11-03,-0.00024178582035064102
2021-11-04,0.0021238632392102117
2021-11-05,0.0018397921665672754
2021-11-08,0.00836263078055663
2021-11-09,-0.0010270357681298418
2021-11-10,-0.0018421893870695654
2021-11-11,0.0028223617169438205
2021-11-12,-0.002813699999790618
2021-11-15,-0.0014233934604877692
2021-11-16,0.00202126702409968
2021-11-17,-0.000677613392465942
2021-11-18,-0.002880845056588385
2021-11-19,0.0019970374624314886
2021-11-22,-0.002004260874701699
2021-11-23,-0.000662451723949018
2021-11-24,0.0
2021-11-25,-0.008838813452631215
2021-11-26,0.005832435840036285
2021-11-29,9.475439944235664e-07
2021-11-30,0.0019550335897698216
2021-12-01,0.002414119299670875
2021-12-02,-0.0030651309060155014
2021-12-03,0.008009638705072614
2021-12-06,0.011606197241640097
2021-12-07,0.0009232093429300926
2021-12-08,-0.0011666274817048934
2021-12-09,0.000445535256709068
2021-12-10,-0.0011926600551073622
2021-12-13,-0.0013687651220855826
2021-12-14,0.0003536279517481083
2021-12-15,0.004540053417495057
2021-12-16,-0.004238671917522461
2021-12-17,-0.00710621595745236
2021-12-20,0.008558224725089686
2021-12-21,0.006919418509935733
2021-12-22,0.004753229809705318
2021-12-23,0.0
2021-12-24,0.006630427985611876
2021-12-27,0.0007931280182889241
2021-12-28,0.0003432736830873914
2021-12-29,0.001000699546268709
2021-12-30,-0.0027294337953303704
2021-12-31,0.0011847998975362069
2022-01-03,0.002317754928930701
2022-01-04,0.0021507192034937515
2022-01-05,0.0023722564330497034
2022-01-06,-0.0004168843197372362
2022-01-07,-0.001389700218602344
2022-01-10,0.007134331526885021
2022-01-11,0.0018028585191800903
2022-01-12,-0.000566550846131966
2022-01-13,0.002019858559559444
2022-01-14,0.0
2022-01-17,0.0042000002174149885
2022-01-18,0.00499674450453587
2022-01-19,-0.00013777959183700286
2022-01-20,-0.0009141009570310071
2022-01-21,-0.0047306682719998085
2022-01-24,0.005807218272691056
2022-01-25,0.007106051605369491
2022-01-26,-0.0061171529646236004
2022-01-27,0.0038441480024967705
2022-01-28,0.009633944797714289
2022-01-31,0.0005035514301719191
2022-02-01,-0.005976281723760058
2022-02-02,0.008429365146943837
2022-02-03,0.0013265232243126362
2022-02-04,-0.0003718777599326347
2022-02-07,-0.0010178280064941528
2022-02-08,-0.0017676799171063688
2022-02-09,0.0029131828105398386
2022-02-10,0.003707899589427602
2022-02-11,0.0009262787137657418
2022-02-14,-0.0008948426694775515
2022-02-15,0.0010236720884900508
2022-02-16,-0.002542311281013725
2022-02-17,-0.00010720443054766454
2022-02-18,0.0009210157944572094
2022-02-21,0.002100542438169669
2022-02-22,-0.001004236437263893
2022-02-23,0.0043896461572084725
2022-02-24,-0.004758515623168923
2022-02-25,0.014038352499705706
2022-02-28,0.006028254573203216
2022-03-01,0.0024125752825744774
2022-03-02,-0.0005423335107231611
2022-03-03,-0.0007312040348894132
2022-03-04,-0.003473877789928418
2022-03-07,0.0007723965977580098
2022-03-08,0.004520725182693248
2022-03-09,-0.0008063931549231714
2022-03-10,-0.0019605837163322246
2022-03-11,-0.001674715321243209
2022-03-14,0.0043556381565304945
2022-03-15,0.004921374337664692
2022-03-16,0.0013650240723160462
2022-03-17,0.000909477862810967
2022-03-18,0.00011287183341547214
2022-03-21,0.0005421117045341785
2022-03-22,-0.0011680501321831944
2022-03-23,0.0015174466410747766
2022-03-24,-0.0007221864975288561
2022-03-25,0.0023822856267788476
2022-03-28,-0.00016313807699694388
2022-03-29,-0.000297722107324263
2022-03-30,0.0019016031216760804
2022-03-31,-0.0004308436397576566
2022-04-01,0.00017665901221394136
2022-04-04,-0.000408735503954519
2022-04-05,-0.00042692721287592713
2022-04-06,8.599446934815594e-05
2022-04-07,0.0006692241813025747
2022-04-08,-0.0003368314094785925
2022-04-11,-0.00011291429740925286
2022-04-12,0.0010077245171459224
2022-04-13,-0.0002612281369395653
2022-04-14,0.0
2022-04-15,0.000534378190357295
2022-04-18,0.0013130299868527847
2022-04-19,0.00032028252942868174
2022-04-20,-0.00037701018106558386
2022-04-21,0.00016834030985465534
2022-04-22,0.00036809049538307013
2022-04-25,-9.349500982384367e-05
2022-04-26,-8.30144677672783e-05
2022-04-27,0.0009196095411071969
2022-04-28,-0.001529202804948832
2022-04-29,-0.0014372917701263698
2022-05-02,0.0006859703317623098
2022-05-03,0.0021075793858045524
2022-05-04,-0.002818006816423717
2022-05-05,-0.0008319445835432244
2022-05-06,-0.004262053301101621
2022-05-09,-0.0010280118100844575
2022-05-10,0.0022276492227994026
2022-05-11,-0.002204091575200619
2022-05-12,0.004368503995025972
2022-05-13,0.0014162516727674256
2022-05-16,0.0034431618563511377
2022-05-17,-0.0061797149571188
2022-05-18,0.0031253633929200428
2022-05-19,-0.0006019532870952085
2022-05-20,0.0025268870475977988
2022-05-23,-0.0011704017132642122
2022-05-24,0.0013561981406581339
2022-05-25,0.011599302948547949
2022-05-26,0.007181265870060657
2022-05-27,0.0
2022-05-30,-0.0016826355557126049
2022-05-31,0.002506762009782903
2022-06-01,0.005710019741405059
2022-06-02,-0.00010835778154193285
2022-06-03,8.147305159191069e-05
2022-06-06,0.0017637627126248102
2022-06-07,0.004011198259551394
2022-06-08,-0.002695399028241327
2022-06-09,-0.0008019368029541851
2022-06-10,-0.0021736707333795736
2022-06-13,-0.0048064034759243155
2022-06-14,-0.007557529823374825
2022-06-15,0.0017763445345162104
2022-06-16,-0.005600567210825189
2022-06-17,3.9674916840276036e-05
2022-06-20,0.0003272665775142918
2022-06-21,-0.0003517216271146879
2022-06-22,-0.0005255004447277796
2022-06-23,0.00025156964288151467
2022-06-24,-3.924928928510418e-05
2022-06-27,6.375357883086055e-05
2022-06-28,-0.00012541650338037232
2022-06-29,-0.00017569449360030996
