inst,variant,is_locked,auc,auc_ci_lo,auc_ci_hi,logloss,brier,n_test
cl1s,full,False,0.4599686028257457,0.3515914638589333,0.5628110316987626,0.7361769962173671,0.2711543961740374,127
cl1s,pruned,False,0.5010465724751438,0.39654091348094334,0.6098436808161077,0.6878060021318071,0.24730634564454107,127
cl1s,reduced,True,0.4924123495552067,0.3920271624472574,0.599477357213828,0.6884362036322875,0.24764320614712498,127
ho1s,full,False,0.5864197530864197,0.32415966386554623,0.8333806818181818,0.6863487113964504,0.24876183673915733,27
ho1s,pruned,False,0.4691358024691358,0.23568562610229277,0.7098927875243665,0.6633666474209761,0.23532789778419957,27
ho1s,reduced,True,0.4876543209876543,0.2526785714285714,0.7172133458646615,0.6606220453309388,0.23399303651892486,27
rb1s,full,False,0.5144179423282307,0.4206264125944977,0.6026018064382426,0.7177157940841878,0.2594213794016365,159
rb1s,pruned,False,0.6397294410822357,0.5469667103450154,0.7222747544800094,0.6493770054844223,0.228699074113108,159
rb1s,reduced,False,0.7376290494838021,0.651574686355508,0.8124964571965381,0.6279191063527128,0.21823397643629397,159
rb1s,reduced_min,True,0.7191171235315058,0.625875846057612,0.7957183005373796,0.6416344232102881,0.22474907345620204,159
ng1s,full,False,0.482051282051282,0.3565256080548634,0.5953673233084996,0.8195647155623623,0.3022820586371993,84
ng1s,pruned,False,0.5692307692307692,0.4459899475524476,0.6853142096942536,0.7576492002763221,0.2782587624489374,84
ng1s,reduced,True,0.5794871794871794,0.4530779524707599,0.6943515316205533,0.7006796120369779,0.254946353314262,84
