inst,variant,auc_mean,auc_std,logloss,brier,n_paths
cl1s,full,0.5398846566880738,0.049822344942586486,1.3802623433233812,0.2810905523798669,15
cl1s,pruned,0.5761170914689958,0.023298209529479037,0.6829550726905402,0.24506008746306757,15
cl1s,reduced,0.5842346928183183,0.02242368736649405,0.7013774444040717,0.24713991863280904,15
ho1s,full,0.5206547503422504,0.1914328557258971,1.0074930416867485,0.318245257460981,12
ho1s,pruned,0.4850445850445851,0.21252401039414068,0.6676713321280747,0.2386903301603409,12
ho1s,reduced,0.6589420417545417,0.18463609383560034,0.6486862105901229,0.22935439773685637,12
rb1s,full,0.5537808020909094,0.07097264357106516,0.9500058478839655,0.25684225664759214,15
rb1s,pruned,0.6286107393975038,0.10849450870285168,0.7229027189573836,0.2512618044855808,15
rb1s,reduced,0.6953546791662139,0.06180522185431236,0.6850252099604336,0.23893999637477847,15
rb1s,reduced_min,0.7215342030359504,0.06947247556494648,0.673703326719271,0.23765738046390314,15
ng1s,full,0.5739891975308642,0.14757086338380193,0.7053812449011682,0.2462515329684062,12
ng1s,pruned,0.49711419753086417,0.17777924797381625,0.8429883379299624,0.30423879387130626,12
ng1s,reduced,0.5341435185185185,0.1082101304616791,0.9010521255259294,0.32423964237840547,12
