date,instrument,side,t1,ret,bin,trgt,h,pt_mult,sl_mult,sigma_method,avg_uniqueness
2020-01-03,es1s,1,2020-01-16,0.025034770515707905,1,0.02616236453059317,15,0.75,0.5,garch,0.2928968253968254
2020-01-06,es1s,1,2020-01-16,0.022506551566249033,1,0.02616236453059317,15,0.75,0.5,garch,0.21432980599647267
2020-01-07,es1s,1,2020-01-16,0.025113978825876515,1,0.02616236453059317,15,0.75,0.5,garch,0.17862103174603172
2020-01-08,es1s,1,2020-01-17,0.01986044015089683,1,0.02616236453059317,15,0.75,0.5,garch,0.1525793650793651
2020-01-09,es1s,1,2020-01-31,-0.015873015871771035,0,0.02616236453059317,15,0.75,0.5,garch,0.14003201659451658
2020-01-10,es1s,1,2020-02-03,-0.005896316716324512,0,0.02616236453059317,15,0.75,0.5,garch,0.1431570165945166
2020-01-13,es1s,1,2020-01-27,-0.01527471692318838,0,0.02616236453059317,15,0.75,0.5,garch,0.11143217893217891
2020-01-14,es1s,1,2020-01-27,-0.014750608272562693,0,0.02616236453059317,15,0.75,0.5,garch,0.10794051627384961
2020-01-15,es1s,1,2020-01-27,-0.016470588232733174,0,0.02616236453059317,15,0.75,0.5,garch,0.10580808080808081
2020-01-16,es1s,1,2020-01-27,-0.02321724709736528,0,0.02616236453059317,15,0.75,0.5,garch,0.10505050505050506
2020-01-17,es1s,1,2020-01-27,-0.0257142857126903,0,0.02616236453059317,15,0.75,0.5,garch,0.10589225589225591
2020-01-21,es1s,1,2020-01-27,-0.02410001506143311,0,0.02616236453059317,15,0.75,0.5,garch,0.10207070707070709
2020-01-22,es1s,1,2020-01-27,-0.024173507041497122,0,0.02616236453059317,15,0.75,0.5,garch,0.09633838383838383
2020-01-23,es1s,1,2020-01-27,-0.02600721587541155,0,0.02616236453059317,15,0.75,0.5,garch,0.0914141414141414
2020-01-24,es1s,1,2020-01-27,-0.01639593137951456,0,0.02616236453059317,15,0.75,0.5,garch,0.08712121212121213
2020-01-27,es1s,1,2020-02-05,0.029479858001406845,1,0.02616236453059317,15,0.75,0.5,garch,0.19910714285714284
2020-01-28,es1s,1,2020-01-31,-0.01654846335439719,0,0.02616236453059317,15,0.75,0.5,garch,0.18988095238095237
2020-01-29,es1s,1,2020-01-31,-0.014820473644056475,0,0.02616236453059317,15,0.75,0.5,garch,0.16984126984126982
2020-01-30,es1s,1,2020-01-31,-0.019986321148198538,0,0.02616236453059317,15,0.75,0.5,garch,0.15476190476190477
2020-01-31,es1s,1,2020-02-04,0.02341811414191519,1,0.02616236453059317,15,0.75,0.5,garch,0.21428571428571427
2020-02-03,es1s,1,2020-02-10,0.033122785394925414,1,0.04287676904991173,15,0.75,0.5,garch,0.22777777777777777
2020-02-04,es1s,-1,2020-02-12,-0.024549174118376982,0,0.04287676904991173,15,0.75,0.5,garch,0.20374149659863947
