date,year,holiday_name,holiday_type,venue_scope,venues_closed,observed_scope,n_missing,n_active,affected_instruments
2009-01-01,2009,New Year's Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2009-01-19,2009,Martin Luther King Jr. Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2009-02-16,2009,Presidents' Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2009-04-10,2009,Good Friday,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2009-04-13,2009,Easter Monday (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2009-05-01,2009,Labour Day (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2009-05-25,2009,Memorial Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2009-07-03,2009,Independence Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2009-09-07,2009,Labor Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2009-11-26,2009,Thanksgiving Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
