date,category,scope,venue_group,label,n_missing,n_active,affected_instruments
2017-02-20,full_holiday,exchange_specific,US_FUTURES,Presidents' Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2017-04-14,full_holiday,global,ALL,Good Friday,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2017-04-17,full_holiday,exchange_specific,EUREX,Easter Monday (Eurex),1,11,fesx1s
2017-05-01,full_holiday,exchange_specific,EUREX,Labour Day (Eurex),1,11,fesx1s
2017-05-29,full_holiday,exchange_specific,US_FUTURES,Memorial Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2017-07-04,full_holiday,exchange_specific,US_FUTURES,Independence Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2017-09-04,full_holiday,exchange_specific,US_FUTURES,Labor Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2017-11-23,full_holiday,exchange_specific,US_FUTURES,Thanksgiving Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2017-12-25,full_holiday,global,ALL,Christmas Day,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2017-12-26,full_holiday,exchange_specific,EUREX,Boxing Day (Eurex),1,11,fesx1s
2018-01-01,full_holiday,global,ALL,New Year's Day,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2018-01-15,full_holiday,exchange_specific,US_FUTURES,Martin Luther King Jr. Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2018-02-19,full_holiday,exchange_specific,US_FUTURES,Presidents' Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2018-03-30,full_holiday,global,ALL,Good Friday,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2018-04-02,full_holiday,exchange_specific,EUREX,Easter Monday (Eurex),1,11,fesx1s
2018-05-01,full_holiday,exchange_specific,EUREX,Labour Day (Eurex),1,11,fesx1s
2018-05-28,full_holiday,exchange_specific,US_FUTURES,Memorial Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2018-07-04,full_holiday,exchange_specific,US_FUTURES,Independence Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2018-09-03,full_holiday,exchange_specific,US_FUTURES,Labor Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2018-11-22,full_holiday,exchange_specific,US_FUTURES,Thanksgiving Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2018-12-24,early_close,exchange_specific,EUREX,Christmas Eve (early close),1,11,fesx1s
2018-12-25,full_holiday,global,ALL,Christmas Day,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2018-12-26,full_holiday,exchange_specific,EUREX,Boxing Day (Eurex),1,11,fesx1s
2018-12-31,early_close,exchange_specific,EUREX,New Year's Eve (early close),1,11,fesx1s
2019-01-01,full_holiday,global,ALL,New Year's Day,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2019-01-21,full_holiday,exchange_specific,US_FUTURES,Martin Luther King Jr. Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2019-02-18,full_holiday,exchange_specific,US_FUTURES,Presidents' Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2019-04-19,full_holiday,global,ALL,Good Friday,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2019-04-22,full_holiday,exchange_specific,EUREX,Easter Monday (Eurex),1,11,fesx1s
2019-05-01,full_holiday,exchange_specific,EUREX,Labour Day (Eurex),1,11,fesx1s
2019-05-27,full_holiday,exchange_specific,US_FUTURES,Memorial Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2019-07-04,full_holiday,exchange_specific,US_FUTURES,Independence Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2019-09-02,full_holiday,exchange_specific,US_FUTURES,Labor Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2019-11-28,full_holiday,exchange_specific,US_FUTURES,Thanksgiving Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2019-12-24,early_close,exchange_specific,EUREX,Christmas Eve (early close),1,11,fesx1s
2019-12-25,full_holiday,global,ALL,Christmas Day,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2019-12-26,full_holiday,exchange_specific,EUREX,Boxing Day (Eurex),1,11,fesx1s
2019-12-31,early_close,exchange_specific,EUREX,New Year's Eve (early close),1,11,fesx1s
2020-01-01,full_holiday,global,ALL,New Year's Day,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2020-01-20,full_holiday,exchange_specific,US_FUTURES,Martin Luther King Jr. Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2020-02-17,full_holiday,exchange_specific,US_FUTURES,Presidents' Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2020-04-10,full_holiday,global,ALL,Good Friday,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2020-04-13,full_holiday,exchange_specific,EUREX,Easter Monday (Eurex),1,11,fesx1s
2020-05-01,full_holiday,exchange_specific,EUREX,Labour Day (Eurex),1,11,fesx1s
2020-05-25,full_holiday,exchange_specific,US_FUTURES,Memorial Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2020-07-03,full_holiday,exchange_specific,US_FUTURES,Independence Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2020-09-07,full_holiday,exchange_specific,US_FUTURES,Labor Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2020-11-26,full_holiday,exchange_specific,US_FUTURES,Thanksgiving Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2020-12-24,early_close,exchange_specific,EUREX,Christmas Eve (early close),1,11,fesx1s
2020-12-25,full_holiday,global,ALL,Christmas Day,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2020-12-31,early_close,exchange_specific,EUREX,New Year's Eve (early close),1,11,fesx1s
2021-01-01,full_holiday,global,ALL,New Year's Day,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2021-01-18,full_holiday,exchange_specific,US_FUTURES,Martin Luther King Jr. Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2021-02-15,full_holiday,exchange_specific,US_FUTURES,Presidents' Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2021-04-02,full_holiday,mixed,MIXED,Good Friday,9,11,"cl1s,fesx1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2021-04-05,full_holiday,exchange_specific,EUREX,Easter Monday (Eurex),1,11,fesx1s
2021-05-31,full_holiday,exchange_specific,US_FUTURES,Memorial Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2021-07-05,full_holiday,exchange_specific,US_FUTURES,Independence Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2021-09-06,full_holiday,exchange_specific,US_FUTURES,Labor Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2021-11-25,full_holiday,exchange_specific,US_FUTURES,Thanksgiving Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2021-12-24,full_holiday,global,ALL,Christmas Day,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2021-12-31,early_close,exchange_specific,EUREX,New Year's Eve (early close),1,11,fesx1s
2022-01-17,full_holiday,exchange_specific,US_FUTURES,Martin Luther King Jr. Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2022-02-21,full_holiday,exchange_specific,US_FUTURES,Presidents' Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2022-04-15,full_holiday,global,ALL,Good Friday,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2022-04-18,full_holiday,exchange_specific,EUREX,Easter Monday (Eurex),1,11,fesx1s
2022-05-30,full_holiday,exchange_specific,US_FUTURES,Memorial Day,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2022-06-20,full_holiday,exchange_specific,US_FUTURES,Juneteenth,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
