cluster,mean_drop,std_drop
C4_f2,0.07574248175607122,0.03908353355070785
C6_f2,0.013963515337810671,0.02843370041101983
F4_latent,0.012539138938057841,0.013862232482893502
F5_signal,0.0067147181966872825,0.01541045257220476
C10_f11,0.0011132246903502179,0.04435204259255435
C9_f1,0.0008514079871175854,0.02369971818805974
C8_f12,0.0008359333028734423,0.022972170749385585
C11_f7,-0.000603591907160358,0.0029981729543101356
C5_f11_lowfreq_macro,-0.0010473095890823395,0.011384022316869013
C13_f7,-0.001457428727451381,0.0037530592336463566
C15_f11,-0.0029209842950150577,0.005707715988831382
C12_f11_lowfreq_macro,-0.004296815123892691,0.01790700391553082
C2_f1,-0.004673525243956674,0.0314294869265041
C3_f6,-0.005797183433962297,0.030640780028107148
F8_calendar,-0.008611941482252002,0.01869368362677935
C14_f11_lowfreq_macro,-0.012283988097289927,0.031085532176340767
C1_f1,-0.014776917530971906,0.03744963149288
C7_f11,-0.036410882439840545,0.07136365766048619
