date,instrument,f4_pc1,f4_pc2,f4_pc3,f4_pc4,f4_cluster_id,f4_cluster_dist,f4_ae_code1,f4_ae_code2,f4_ae_code3,f4_ae_code4,f4_ae_recon_err
2020-01-03,es1s,3.223389129880859,2.9331847791984273,0.4488677365124859,-1.380360148910544,3.0,5.319061210373142,-4.9897833,-2.9153585,1.9108442,3.0584962,0.28773869084097714
2020-01-06,es1s,3.4503893996357586,2.5002094386796356,0.9022061852952848,-1.4220607369688079,3.0,4.788477554948482,-4.6116595,-2.9836297,2.116509,2.863822,0.25550642367306237
2020-01-07,es1s,2.758355538227394,3.0428318938229486,0.8647634762370838,-0.9235468011034534,3.0,4.780051436015911,-4.342911,-2.8236291,1.6804096,2.7599628,0.22642454712726828
2020-01-08,es1s,3.996914122557243,1.891216785192901,1.1446962333695583,-2.0383939901209924,3.0,5.15256962554482,-4.857114,-3.123843,2.5166645,3.1245842,0.3122757410889514
2020-01-09,es1s,5.131697703815236,0.47313152809712367,2.435110130354856,-1.4364763556593902,3.0,4.619073426871561,-3.5928636,-3.43237,3.3268886,3.0260391,0.21612154741242917
2020-01-10,es1s,3.826213491887921,1.9071969421047317,1.512585730629125,-1.2467017364071675,3.0,4.415065689264877,-4.2721915,-3.1988647,2.5046272,2.9934254,0.23253184506048116
2020-01-13,es1s,5.198977482550208,0.08437557261358697,2.929179716994521,-1.2768406016678722,3.0,4.963760100721681,-3.1621273,-3.4708915,3.5086775,2.9166403,0.2367486427271544
2020-01-14,es1s,4.664928736184457,1.2497586268588532,1.95566002258158,-1.4448927644034621,3.0,4.630808247948533,-4.25202,-3.4330466,3.0151434,3.2086582,0.24192671449124678
2020-01-15,es1s,4.771284306946756,1.1017136518941266,2.2256375183896893,-1.4607179622795805,3.0,4.524553718554139,-4.001907,-3.4442153,3.0968628,3.1400967,0.21772153509384948
2020-01-16,es1s,5.677927667637526,-0.06538024839045406,3.1497947239207384,-1.4697636766025022,3.0,5.3482420733872615,-3.406558,-3.6481764,3.74303,3.1951628,0.23984096878098227
2020-01-17,es1s,5.7504105372779275,0.00954514667386773,3.1685169480921775,-1.2806062725052154,3.0,5.604726309560482,-3.5172215,-3.7062368,3.8053226,3.297707,0.28520842781993205
2020-01-21,es1s,4.951082361440602,0.9685802844239195,1.8814179032905065,-1.3533395171926659,3.0,4.878364881661426,-3.9704738,-3.37299,3.1149082,2.9081564,0.2941750022721345
2020-01-22,es1s,4.747716580993206,1.2388611607707494,1.8116465827402572,-1.1754244131273586,3.0,4.7102826566707945,-3.9462652,-3.3068392,2.9060721,2.8164303,0.28295524729946087
2020-01-23,es1s,4.917796346917708,1.2182570611551102,1.9314551012072103,-1.6361988555713165,3.0,4.867369055046652,-4.2951875,-3.3893054,3.0540571,3.2265148,0.264727415972736
2020-01-24,es1s,1.6734845661845466,4.297467594129367,-0.10055654708667443,-0.42525801911034855,3.0,6.227833530506543,-4.8805323,-2.4386053,0.7991983,2.5780659,0.3189661158668664
2020-01-27,es1s,-1.704156866500718,6.4214349528487205,-0.5304232760884865,-0.12186194552094792,0.0,5.422993920786948,-4.469591,-1.5830278,-1.3828746,1.1161163,0.26426125932009026
2020-01-28,es1s,0.28205890970734027,3.7454227556864526,0.8647927210512708,-0.26420732853795204,0.0,5.075869633527237,-3.0293996,-1.9660313,0.14010924,1.5906203,0.1787217443152638
2020-01-29,es1s,0.19309851759272456,3.7506078486443255,1.03591505968811,0.04096908176516203,0.0,5.097890340940986,-2.7338572,-1.8963423,0.09191877,1.798148,0.20284762503157563
2020-01-30,es1s,0.6291216281228263,3.4371067626754974,1.4509537379367237,-0.5838698281973925,3.0,5.140847535496044,-2.952601,-2.0112498,0.39929682,2.1961067,0.21035218014055584
2020-01-31,es1s,-3.10014785607791,6.212885487792648,0.14242370053771136,0.1563930092158835,0.0,5.794922880830459,-3.371239,-1.178874,-2.0601888,0.5707989,0.38181802886541316
2020-02-03,es1s,-1.9356121952202383,4.390277729642349,1.2868357634263194,0.16188327783796455,0.0,5.000275509461081,-1.6385127,-1.143323,-1.2523631,0.45618448,0.37425828488297896
2020-02-04,es1s,0.9040730624027437,1.2645806190752151,1.6856377874970427,-0.7355761683072508,3.0,4.986522487834001,-1.3437091,-1.6765306,0.9298497,1.1182721,0.35304347454161095
2020-02-05,es1s,2.28618393266089,0.2645845222531058,2.3978577954649016,-1.2809760264295245,3.0,4.587753189915687,-1.4740125,-2.09561,2.0636845,2.0107198,0.326789204460743
2020-02-06,es1s,2.5686225494592048,0.0028105617703869474,2.764743850620885,-1.1553519238820753,3.0,4.414490514339536,-1.5322802,-2.3407469,2.4330142,2.0509715,0.27424541145508197
2020-02-07,es1s,1.4701527796655791,1.1097149417028704,2.2682746025350324,-0.6541439207831327,3.0,4.530915487438265,-1.3593063,-1.9395926,1.4419576,1.8685971,0.28093766667322434
2020-02-10,es1s,2.48770578167003,0.02616943728439649,2.8424208912430995,-1.1746225364091583,3.0,4.418476688592155,-1.4051279,-2.309006,2.5314136,2.20987,0.26756826949502194
2020-02-11,es1s,2.559864983848543,0.10791644449804723,2.9533735364627414,-1.1200651369391301,3.0,4.188364379845959,-1.406564,-2.3519323,2.552928,2.3582225,0.21871725629705402
2020-02-12,es1s,3.0512125997068593,-0.44828186142451915,3.272603648177423,-1.280459765660957,3.0,4.4805609653216845,-1.460307,-2.5775917,3.0489593,2.415186,0.22737448425923742
2020-02-13,es1s,2.5743914528583303,0.23029138852407238,2.9010772356882737,-1.2701934512589834,3.0,4.166016128744682,-1.621791,-2.3266368,2.290522,2.5886927,0.2198279017376691
