date,instrument,f6_ts_momentum_20,f6_ts_momentum_60,f6_ma_cross_20_60,f6_macd_12_26,f6_macd_hist_12_26_9,f6_adx_14,f6_donchian_pos_20,z_f6_macd_12_26,z_f6_macd_hist_12_26_9
2020-01-03,es1s,1.9154536471029477,3.1357993040252974,0.028918456620984738,29.073873675165487,0.19779811392450597,30.21991466076616,0.6732952180917078,2.0853984272718304,0.04434237555813751
2020-01-06,es1s,1.9300693406951843,3.0136508195875282,0.029105369139105934,28.37015626055927,-0.40473544054537314,29.328481162000582,0.7738906162213619,2.029899971970704,-0.10332471430650518
2020-01-07,es1s,1.4188996659843651,2.742083730577905,0.028872369118730753,26.93190932090465,-1.4743859041599947,28.688155077849494,0.6052505774085459,1.9175923673936053,-0.3654741093419595
2020-01-08,es1s,1.9968310261521682,2.7141134904767594,0.029250978952474218,27.206024246349443,-0.9602167829721608,27.21483587240649,1.0207762854097644,1.9380236192546447,-0.23941199957754739
2020-01-09,es1s,2.2071573105114966,2.9101713720877544,0.029740931647877108,28.186700129517703,0.01636728015687794,25.473138682992353,1.2623305726788505,2.0131211268700744,7.008621661366689e-07
2020-01-10,es1s,1.8363466912107667,2.5595267845149596,0.030176515048194137,27.865281665680413,-0.24404094694433098,23.863029177257317,0.8253352248702928,1.9873476395532903,-0.063839187280728
2020-01-13,es1s,1.8300856467897373,2.822386186780642,0.03043922244361827,29.00376793514488,0.7155562580161074,22.527464358757847,1.2649710420526188,2.074554609050025,0.17143513329228754
2020-01-14,es1s,1.7282469057729117,2.7360792365377167,0.030654679880067065,29.445666682957835,0.9259640046632498,21.520290131661447,0.9691710366895208,2.1077558899949023,0.22301008920557333
2020-01-15,es1s,1.5256736496618215,2.9177707536537176,0.030522200641946044,29.849128968418427,1.0635410320990708,20.67850964606617,1.0848806364582062,2.1379327744076133,0.25672500601240955
2020-01-16,es1s,1.878358243281358,2.931264355432109,0.030774179162252526,31.37922614194531,2.0749105645007617,20.63824617344235,1.4631043258388576,2.2551232768371237,0.5047160272924966
2020-01-17,es1s,1.9486415323728832,3.1766096739142156,0.03098891346293357,32.80109559742141,2.797424015981484,21.022752024010472,1.1449893389452939,2.3637354630167793,0.6818419219223416
