date,instrument,f13_mra_energy_d1,f13_mra_energy_d2,f13_mra_energy_d3,f13_mra_energy_d4,f13_mra_energy_d5
2020-01-03,es1s,0.5617476140593547,0.2478365476166759,0.09090171771942682,0.025149791348666375,0.03315231009701217
2020-01-06,es1s,0.5442792478892918,0.23525605374380695,0.1311329085223348,0.021487837265538563,0.03411315287305042
2020-01-07,es1s,0.5751983897042966,0.2056435983507249,0.12979572898368635,0.024001477016090927,0.032718884269335245
2020-01-08,es1s,0.5494697143880801,0.25740948777033607,0.10074847308162023,0.028197258162742548,0.030466016570746334
2020-01-09,es1s,0.5749385387915847,0.2475021788241955,0.0851793352451499,0.02931412339719501,0.028195874374424473
2020-01-10,es1s,0.5517412492804533,0.23071880475880568,0.11963453876061456,0.038101800819287567,0.026384261101194736
2020-01-13,es1s,0.5774439560190727,0.2039564471078115,0.12118180484626712,0.038862109733258945,0.023130466243991843
2020-01-14,es1s,0.5519247237191334,0.25319506682871434,0.10206570988295333,0.036222053302535945,0.01969509982359216
2020-01-15,es1s,0.576575231673622,0.24638247619493725,0.08902487345177208,0.035102433224346814,0.01811101713759257
2020-01-16,es1s,0.5504204646710557,0.23033863291913728,0.1317265524689253,0.03299485638307129,0.018408797588235604
2020-01-17,es1s,0.5772405486373782,0.2052361695735043,0.12929697951424587,0.03493757789950145,0.019155524585828757
2020-01-21,es1s,0.5547052005438289,0.25066203694036443,0.10594448546945716,0.03790024101679129,0.02044965380987919
2020-01-22,es1s,0.5680331296244964,0.2510694447218654,0.08574935726432653,0.03839964632977224,0.023671862768980402
2020-01-23,es1s,0.5574827342414321,0.22305911146882637,0.1174762638605713,0.04531943384256082,0.024846525334120358
2020-01-24,es1s,0.570177583739715,0.20853954275263303,0.12381730502196642,0.041507197256564925,0.027122460961231457
2020-01-27,es1s,0.5436591585323295,0.2388727900271036,0.12642626541676644,0.03859378433287013,0.029794161745359177
2020-01-28,es1s,0.562930105405971,0.25669745775436464,0.09307428717593548,0.03016490075059697,0.0337438988911527
2020-01-29,es1s,0.5544811770021634,0.22239766745301717,0.13854189425812657,0.027228779097770238,0.03628522010343938
2020-01-30,es1s,0.5693134667815191,0.20921865215516552,0.13490113047559965,0.029973131471422384,0.03768805161046943
2020-01-31,es1s,0.5615014585752617,0.25913792977542727,0.08940669973859389,0.036444410021027406,0.037541475618521836
2020-02-03,es1s,0.5735586412199617,0.2607244504388744,0.07738574339332607,0.03289801107269904,0.04073303905474124
2020-02-04,es1s,0.557233836010413,0.23016496957876914,0.11628110094134664,0.04137019762151688,0.042589486322966504
2020-02-05,es1s,0.5569867451278717,0.2315311237214631,0.11535636643664297,0.04402671045007788,0.04165712103097223
2020-02-06,es1s,0.5533384874754752,0.2696294545013587,0.08672747430515446,0.04290189229859452,0.03856631314115701
2020-02-07,es1s,0.5589526156148165,0.27378044324998796,0.07884351052089157,0.043821845373170826,0.03550574679138762
2020-02-10,es1s,0.5575759123196625,0.22336489793542114,0.12489109151039005,0.05109737533929173,0.03391625520588233
2020-02-11,es1s,0.5584172487976037,0.22278252447050456,0.12293301685489623,0.052305640503571275,0.031651613111998385
2020-02-12,es1s,0.5591756957927868,0.2582464429376502,0.09045671494582251,0.04610945714410068,0.03121455351345392
2020-02-13,es1s,0.5590975536484434,0.2744830504466907,0.0733019804132014,0.044914361894961174,0.03301913440214299
2020-02-14,es1s,0.5585111225202607,0.22285063963741622,0.11116923555630244,0.058006822223848085,0.03627408759685029
2020-02-18,es1s,0.5565737909412302,0.22671707998947635,0.1130747628535782,0.05482999976509168,0.038772102922317815
2020-02-19,es1s,0.5625216647521541,0.2566892151539271,0.08821096320421819,0.03906824657187572,0.04040239420405517
2020-02-20,es1s,0.558334496335835,0.27647507394113924,0.08292901207789438,0.027555415346870206,0.03966136758720774
2020-02-21,es1s,0.5599045242225172,0.22388685579594206,0.13784780466785188,0.02275532559350037,0.03861495039810176
2020-02-24,es1s,0.5340878480499762,0.2285173402123117,0.14754733661830344,0.03782503965176083,0.037794156000472555
2020-02-25,es1s,0.4948689345761788,0.26082642314164994,0.12821142442189704,0.062292228447600205,0.03898835933176535
2020-02-26,es1s,0.5064337542865911,0.28490541846557454,0.07440114265934127,0.08411967399280518,0.03704829900650294
2020-02-27,es1s,0.4969603868545027,0.21253637760078065,0.09812018485318,0.13164416824046418,0.04473386563412704
2020-02-28,es1s,0.49442593934657003,0.21292066596453235,0.0921463672374094,0.1440284829086332,0.04203210407554758
2020-03-02,es1s,0.5038224511647375,0.19945114775595305,0.1483883197877287,0.10678380142064131,0.03023109694066557
2020-03-03,es1s,0.5353072581358176,0.22852282143927827,0.09422444929926489,0.06835238408197275,0.05417771878889007
2020-03-04,es1s,0.5457197258810031,0.21476951001961905,0.12605714856877995,0.044278366651685094,0.06635329391531242
2020-03-05,es1s,0.5752417753045689,0.20164986397555007,0.08779725438631981,0.06537281569406705,0.10569880259927972
2020-03-06,es1s,0.5367122495627331,0.18652133251710018,0.09686694963251097,0.12893813108244495,0.1506349095415914
2020-03-09,es1s,0.5092995136926112,0.20829676659324553,0.1432731181507188,0.058940464840374886,0.1307250480741714
2020-03-10,es1s,0.5991810928066061,0.22442844905162898,0.0678654423366032,0.03688729251633775,0.07519317167595538
2020-03-11,es1s,0.5855355561084633,0.2219240372481954,0.08258985958261418,0.03467660645370659,0.047785606078204125
2020-03-12,es1s,0.5463769281959167,0.1531502663400364,0.13077567310801683,0.09108216071172336,0.041199558097352734
2020-03-13,es1s,0.6879644489822679,0.11746157899240628,0.08495573188610919,0.08496190828504993,0.015595910414504208
2020-03-16,es1s,0.7131368795860494,0.11596478678385805,0.03564214310134457,0.07383665647416408,0.02945572708232725
2020-03-17,es1s,0.7376021379142489,0.11699545012110024,0.042656822675988956,0.032141213799057655,0.036091031828069345
2020-03-18,es1s,0.7270166591316827,0.08930068306729114,0.06903127369965462,0.03126243170106354,0.042702797612811254
2020-03-19,es1s,0.7394065291176554,0.0794830788149148,0.07714254647067031,0.009925388170691482,0.06449163520048577
2020-03-20,es1s,0.7116960464324964,0.10716199293315365,0.054555283155259926,0.016553729646215133,0.07347858846451485
2020-03-23,es1s,0.7088452469431302,0.11599497275030966,0.041838796659230806,0.021067394307505087,0.06416377668127257
2020-03-24,es1s,0.7167055977308273,0.1054207473833323,0.06717721299777125,0.03475936450519639,0.046448197779859986
2020-03-26,es1s,0.6880258406255855,0.1191835929441727,0.08656387262810909,0.046341608489485334,0.023443588073024733
2020-03-30,es1s,0.7042450677100395,0.1043963252932691,0.05831405130959501,0.09020976201308237,0.01948864293784068
