date,f11_vix_level,f11_vix_chg5,f11_vix_chg20,f11_move_level,f11_move_chg5,f11_move_chg20,f11_dxy_level,f11_dxy_chg5,f11_dxy_chg20,f11_10y_ust_level,f11_10y_ust_chg5,f11_10y_ust_chg20,f11_2y_ust_level,f11_2y_ust_chg5,f11_2y_ust_chg20,f11_hy_oas_level,f11_hy_oas_chg5,f11_hy_oas_chg20,f11_be10y_level,f11_be10y_chg5,f11_be10y_chg20,f11_tips10y_level,f11_tips10y_chg5,f11_tips10y_chg20,f11_eia_crude_stock_level,f11_eia_crude_stock_chg5,f11_eia_crude_stock_chg20,f11_eia_ng_stock_level,f11_eia_ng_stock_chg5,f11_eia_ng_stock_chg20,f11_us_ism_mfg_pmi_level,f11_us_ism_mfg_pmi_chg21,f11_us_ism_mfg_pmi_chg63,f11_china_pmi_mfg_level,f11_china_pmi_mfg_chg21,f11_china_pmi_mfg_chg63,f11_spread_vix_term_level,f11_spread_vix_term_chg5,f11_spread_vix_term_chg20,f11_spread_curve_slope_level,f11_spread_curve_slope_chg5,f11_spread_curve_slope_chg20,f11_spread_credit_diff_level,f11_spread_credit_diff_chg5,f11_spread_credit_diff_chg20
2020-01-03,-1.1110063234501393,0.09265123843286799,0.015368913622899332,0.10880177642606859,0.4918204824428347,-0.1992906327860095,0.752042167985369,-0.025578955284493124,-0.3469226816885347,1.731136324857606,-0.7825434261648729,-0.1332843556024341,3.055254131081251,-0.5369697216187405,-0.0901965998659877,-0.7413522894260766,0.10003442542031067,-0.1690499913546363,0.02845386414293109,0.2959656412289567,0.14478567022396213,2.081250771526558,-0.9101699952587168,-0.3677889477105776,-1.9885968267997953,-1.7160531359963724,-0.9497406069379486,0.568167330181025,-0.4989069320050778,-0.9410478258846723,-1.0951723142230994,-0.2901734820515806,-0.5012270821002276,-0.01726978505680675,5.1526512645709656e-05,0.0322157797650205,-0.04834772227621348,-0.23683468992715484,-0.18290993477210082,-1.1881475933121606,-0.5617848533710019,-0.07366583892498597,-0.7858590611143895,0.09310653502431178,-0.19709846011855447
2020-01-06,-1.1264293479182552,-0.16879024633783118,-0.1788604179308877,0.25595989901150473,0.32413821399070436,-0.22738939221773036,0.7040291390061774,-0.013701276218268063,-0.4160561571474116,1.7817091993819105,-0.616464048089517,0.04388084630849971,3.105209193022777,-0.05155273707358737,0.01585951643079158,-0.7765717181153855,-0.012015712460036883,-0.13878288672625588,-0.014427908581028355,-0.05979318146065132,0.11411755915368788,2.198806205008672,-0.48486393273978157,-0.12178741743956296,-1.9885968267997953,-1.7160531359963724,-0.9497406069379486,0.568167330181025,-0.4989069320050778,-0.9410478258846723,-1.0951723142230994,-0.2901734820515806,-0.5012270821002276,-0.01726978505680675,5.1526512645709656e-05,0.0322157797650205,-0.024779064085825274,0.08345582056273351,0.17063275435311812,-1.1857791940138431,-0.8097502955123629,0.0447952805867961,-0.8521231800023747,-0.13069612990990204,-0.18556055298409993
2020-01-07,-1.1318727683187668,-0.004551364879315021,-0.16918924789501455,0.24714143473672226,0.44434417751964145,-0.22534584607724129,0.800055196964565,0.6643162371445721,-0.0641605388206655,1.8027610658106883,-0.9044629696074754,-0.020585025591027623,3.0949169440800506,-0.15866989288103744,-0.19236074859224234,-0.7589620037707311,-0.06804078140021108,-0.12364933441206566,-0.0389317787090056,-0.4751709277328632,0.008902347327972354,2.263491229964911,-0.3819034334335215,-0.06447717082697493,-1.9885968267997953,-1.7160531359963724,-0.9497406069379486,0.568167330181025,-0.4989069320050778,-0.9410478258846723,-1.0951723142230994,-0.2901734820515806,-0.5012270821002276,-0.01726978505680675,5.1526512645709656e-05,0.0322157797650205,-0.024779064085825274,-0.016093932697637595,0.1677584235472226,-1.155463682995377,-1.1059684723406855,0.25354688753134036,-0.8272741354193804,-0.24259746237700897,-0.16248473871519034
2020-01-08,-1.1627188172549987,-0.06153220130369813,-0.14098166862371772,0.1291944750615038,0.22817546999701596,-0.038872260757642926,0.8845811282213552,0.8998902052910949,0.3275958221130087,1.9385093079548743,-0.3659049863688916,0.47241657030248524,3.1958311898111744,0.3864072797087707,0.19002506521174098,-0.7765717181153855,-0.12406585034038443,-0.16148321519754102,1.187203010083054e-05,-0.2836084847461493,0.1311029745156858,2.3698227778381797,-0.09678205073926324,0.36318702795186597,-1.9885968267997953,-1.7160531359963724,-0.9497406069379486,0.568167330181025,-0.4989069320050778,-0.9410478258846723,-1.0951723142230994,-0.2901734820515806,-0.5012270821002276,-0.01726978505680675,5.1526512645709656e-05,0.0322157797650205,-0.060132051371408105,-0.06803293439870034,-0.0018270940006468019,-1.1178061341521273,-0.8928522274732504,0.4536306076823357,-0.8438401651413764,-0.2985481286105612,-0.19709846011855398
2020-01-09,-1.2452773599960902,0.00550407684263473,-0.12969863691519892,-0.02678211179871525,0.05140199421916744,-0.2003124058562544,0.927994106519908,0.6524385580783612,0.22296137276983025,1.8918080410496554,-0.1633457449012585,-0.08458711423948131,3.1905595501088024,0.3592890124157454,-0.03862802955654386,-0.7648319085522824,0.006659310520020628,-0.040414796684019635,-0.006114095501893237,-0.49374075638973636,-0.00572398256708157,2.323745773759763,0.2524916430612031,-0.12178741743956296,-1.9497845327384518,0.13883960304354862,-0.9319785151571798,0.5059286537382572,-0.35639966937309175,-0.8629519065295918,-1.0951723142230994,-0.2901734820515806,-0.5012270821002276,-0.01726978505680675,5.1526512645709656e-05,0.0322157797650205,0.07538773322332669,-0.14161318680853968,0.06428251453496293,-1.1585426020831904,-0.5832305132318768,-0.07438816282444959,-0.8189911205583821,-0.01879479744279638,-0.03556776023618782
2020-01-10,-1.243462886529253,-0.250909687067089,-0.0225098356842708,-0.2659829552521954,-0.6819553967220746,-0.15688705037086811,0.9009688087711369,0.567315191437187,0.30455133029337716,1.8073585998583523,0.3560123102361301,0.07634567388380226,3.1697240217613314,0.8487737370548518,0.1861330976412174,-0.7883115276784884,-0.14274087332044277,-0.06311512515530479,-0.013771554916886185,-0.2562424214623318,0.0390986413048599,2.226570553620026,0.48930079146560085,0.013918921237414436,-1.9497845327384518,0.13883960304354862,-0.9319785151571798,0.5059286537382572,-0.35639966937309175,-0.8629519065295918,-1.0951723142230994,-0.2901734820515806,-0.5012270821002276,-0.01726978505680675,5.1526512645709656e-05,0.0322157797650205,0.0694955686757291,0.16569257325608167,-0.08518268737163374,-1.221542023418439,-0.34196683979704134,-0.15745541126258847,-0.8521231800023747,-0.21462212926023286,-0.07018148163955144
2020-01-13,-1.2652365681312991,-0.2626410357426973,-0.0023615647762016087,-0.2687387253380648,-0.9567118847882152,-0.14360400045769137,0.8978062739281972,0.7217250192979159,0.39299235295248636,1.8709981500970707,0.4078521161093636,-0.027541774357164026,3.2051193169058303,0.7701307619050782,0.14478094220439902,-0.8587503850571062,-0.25479101120079034,-0.06311512515530479,0.02779751047878892,0.12101830809313159,0.04240136095858047,2.2481322286054386,0.23189954319995112,-0.11800277851231662,-1.9497845327384518,0.13883960304354862,-0.9319785151571798,0.5059286537382572,-0.35639966937309175,-0.8629519065295918,-1.0951723142230994,-0.2901734820515806,-0.5012270821002276,-0.01726978505680675,5.1526512645709656e-05,0.0322157797650205,0.04887299275913943,0.10076882112975417,-0.15991528832493207,-1.192647551978964,-0.19184722077092026,-0.25785843328781716,-0.9432363434733542,-0.29854812861056246,-0.08171938877400649
2020-01-14,-1.258885910997369,-0.24085424534513894,-0.008809011466783614,-0.3194448949180654,-1.0334820799831668,-0.15228907155476862,0.90556885945178,0.417854396520708,0.28337531078345407,1.7863067334295746,-0.01166631290180123,-0.2306788383283407,3.1692219608372962,0.6318275987106495,0.09418536378758716,-0.8176610515862457,-0.1800909192805578,-0.010147692055638861,0.019702481954367856,0.19432026331763982,-0.0736656440150775,2.153910662573292,-0.19419852315980157,-0.2196473668440765,-1.9497845327384518,0.13883960304354862,-0.9319785151571798,0.5059286537382572,-0.35639966937309175,-0.8629519065295918,-1.0951723142230994,-0.2901734820515806,-0.5012270821002276,-0.01726978505680675,5.1526512645709656e-05,0.0322157797650205,0.02825041684254923,0.07047107013746724,-0.18578426557799735,-1.2416734174541395,-0.6408657241079789,-0.4991146157081565,-0.8935382543073653,-0.21462212926023164,-0.024029853101732255
2020-01-15,-1.2561642007971132,-0.17884568805978093,-0.0297632132111757,-0.41920377202654463,-1.0001476531222013,-0.14411488699281347,0.8644559064935466,-0.014691082807137735,0.08344877364559525,1.7187955755717705,-0.8180632931520884,-0.5307466017743462,3.12805296506639,-0.13561936568196548,-0.01624921602603115,-0.8176610515862457,-0.12406585034038443,0.02011941257274124,-0.03389973395058181,-0.2191027641485832,-0.25342795659623113,2.1441636040182424,-0.5054560326010334,-0.3521097292976998,-1.9497845327384518,0.13883960304354862,-0.9319785151571798,0.5059286537382572,-0.35639966937309175,-0.8629519065295918,-1.0951723142230994,-0.2901734820515806,-0.5012270821002276,-0.01726978505680675,5.1526512645709656e-05,0.0322157797650205,0.016466087747355126,0.10509707127150934,-0.12829764946007471,-1.2689100093847923,-1.0081226492254487,-0.8024906534822334,-0.8935382543073653,-0.1586714630266794,0.022121775436086427
2020-01-16,-1.2652365681312991,-0.04309722481345633,-0.0313750748838212,-0.42857339031850133,-0.7314519699398723,-0.16761566760843444,0.8906186947396932,-0.07407947813819271,0.15320507320770832,1.7778375917628249,-0.3985448641409278,-0.43381590229951633,3.158427650970534,0.05692033209851381,0.051860216458138965,-0.8352707659309003,-0.21744096524067447,-0.03284802052692436,-0.028648904637443483,-0.16828007519292368,-0.31570781292355826,2.2115069176713127,-0.20132655772715802,-0.1623371202314885,-2.0347781217095555,-0.4065961093232231,-1.0080127326046815,0.35174647800503683,-1.018040531593027,-0.8683378320023559,-1.0951723142230994,-0.2901734820515806,-0.5012270821002276,-0.01726978505680675,5.1526512645709656e-05,0.0322157797650205,-0.007102570443034121,-0.12862843638327495,-0.15704095751903654,-1.2397786980154855,-0.6127182955405817,-0.7526503044193501,-0.9101042840293616,-0.29854812861056246,-0.05864357450509639
