inst,variant,auc_mean,auc_std,auc_se,ap,logloss,brier,n_paths
nq1s,full,0.5801763586799739,0.03281079244575134,0.008471710181217536,0.5971073006086847,0.6849199433023833,0.24591957302396344,15
nq1s,pruned,0.5295279777816722,0.04107831474451709,0.010606375259718751,0.5634904083170061,0.6920331611346766,0.24942769769028658,15
nq1s,reduced,0.6070590084912653,0.024621603256171118,0.0063572706245384695,0.614419741858723,0.6780019261355289,0.24225111702486368,15
fesx1s,full,0.5053995115135318,0.02815660803310597,0.007270004933193959,0.527616221008095,0.7734109720905565,0.27159360856549936,15
fesx1s,pruned,0.5413210349778883,0.033128709269502524,0.008553795952142037,0.5659517107578943,0.6906431015900778,0.2487565161213015,15
fesx1s,reduced,0.5502102074631965,0.03484422245388616,0.008996739551696508,0.571768839474392,0.6912293034204616,0.24894830962462203,15
es1s,full,0.5946425811885195,0.030301340255084828,0.007823772411713862,0.5103683128640664,0.681493108192323,0.2442398155573684,15
es1s,pruned,0.6014389382073253,0.03451605560681981,0.00891200723613215,0.4979071730792308,0.6866469528005303,0.24659054643132722,15
es1s,reduced,0.5803967905649664,0.04553725520975522,0.011757668737291926,0.5035580124621175,0.6910748746645778,0.24892856999851595,15
