K,silhouette,calinski_harabasz,davies_bouldin
3,0.0975771225619745,0.2709476715091129,6.74686256552842
4,0.07920489273727059,0.25106343564689976,5.779381355022208
5,0.09251224113986806,0.5466970688626023,5.024392377159726
6,0.09949351819698415,0.4320243414104184,3.655633304955616
7,0.11116250536674752,0.35618956378209127,4.8090575026609725
8,0.10439783608800211,0.30148926249256397,5.160096343710779
9,0.11396323637107629,0.34809053761022185,5.087743687457297
10,0.12162372164792219,0.7487736253751498,4.8079489576999475
11,0.13779569895876304,0.665144613420845,4.506776635173572
12,0.14494464482749725,0.5972692597672941,4.379353355803597
13,0.15199484465600138,0.8015721667874285,4.386406625329816
14,0.153300957627474,0.7299144668187512,7.277739015119607
15,0.1620428888110425,0.6711814820923765,6.973626254701444
