cluster,mean_drop,std_drop
C4_f7,0.013823344662018299,0.00590773056919519
C1_f1,0.013078419059851803,0.022532802500414822
C10_f11_lowfreq_macro,0.011026793743474716,0.00877555588476693
C6_f11,0.003223229689170998,0.012469580005839566
C11_f12,0.002832186815492124,0.02011984248078849
C8_f11,0.0011904901328371126,0.005343150773497657
C3_f2,0.0011595760591788758,0.01077296547649562
F8_calendar,5.962554888623645e-06,0.0012551863116674804
C12_f11_lowfreq_macro,-8.757284625072268e-05,0.003894812468677275
C5_hmm_vol,-0.0003673011899561042,0.002839903896191482
F4_latent,-0.001553553180979819,0.007477354903040669
C14_f11_lowfreq_macro,-0.0018863165202893239,0.0076814613843808836
F5_signal,-0.0020150355249621693,0.010116037620092047
C7_f11_lowfreq_macro,-0.0031644641171911804,0.007512920443180471
C13_f11,-0.003487593676460087,0.012262443316901683
C15_f7,-0.006864514336004728,0.00888646993272847
C9_f11_lowfreq_macro,-0.008541956223866795,0.011011386695013527
C2_f1,-0.009050656206676336,0.01578546999502732
