instrument,metric,full_window,first_half,second_half,sign_flip_flag
es1s,corr_trail_1,-0.16099887783297495,-0.1724915987254394,-0.15889800644198,False
es1s,corr_trail_5,-0.048787112556996186,-0.06477185035615665,-0.02456644708773208,False
es1s,corr_trail_10,0.019070508123222224,-0.01626512023582922,0.10281974079122641,False
es1s,corr_trail_20,0.03638769797743614,0.10634306348075415,-0.06679391441117473,False
es1s,corr_fwd_1,0.10285512659211726,0.09952304699027824,0.11565905754570634,False
es1s,mean_pnl_next_day,0.0014468724611104897,0.0019167662565621095,0.0009830830167944183,False
es1s,mean_pnl_h,0.004595399390993728,0.005640086515676821,0.0030722742683018402,False
es1s,hit_rate_h,0.6035398230088496,0.6453900709219859,0.5547445255474452,False
nq1s,corr_trail_1,-0.05334975273669545,-0.06094665678405639,-0.022452397141720197,False
nq1s,corr_trail_5,-0.05907886282673257,-0.11405713365083268,0.043558076845983736,False
nq1s,corr_trail_10,0.024572775605680382,0.005384301564640812,0.07509558089834903,False
nq1s,corr_trail_20,-0.008214720175627976,0.027277753654307263,-0.053153788222665276,False
nq1s,corr_fwd_1,0.11371881892272062,0.1104649964718576,0.15681491062908615,False
nq1s,mean_pnl_next_day,0.002099388519303029,0.0023759401080743025,0.0018304036187740305,False
nq1s,mean_pnl_h,0.008798676889211538,0.008143486631675289,0.007881571686357084,False
nq1s,hit_rate_h,0.5993265993265994,0.5809859154929577,0.6033333333333334,False
fesx1s,corr_trail_1,-0.19301608887585162,-0.1582854756996917,-0.2546635908974523,False
fesx1s,corr_trail_5,-0.032336880790112786,-0.04832370006440396,-0.00548701695646229,False
fesx1s,corr_trail_10,-0.02147707542504626,-0.003283177784320934,-0.04697191807071484,False
fesx1s,corr_trail_20,0.012642985780338224,-0.0012738618690971864,0.04727050708168215,False
fesx1s,corr_fwd_1,0.04739055006731443,-0.0034713448492551214,0.1226734077092248,False
fesx1s,mean_pnl_next_day,0.0007557505719754773,-7.10949971477887e-05,0.001604107116494752,False
fesx1s,mean_pnl_h,0.001942597261221142,-0.0014795826681685013,0.005202339031340693,False
fesx1s,hit_rate_h,0.5231259968102073,0.525974025974026,0.5210355987055016,False
cl1s,corr_trail_1,0.002909673096481665,0.015094244338729405,-0.061279847556718586,False
cl1s,corr_trail_5,0.028064525826207137,0.039992961543942274,-0.026094190356381306,False
cl1s,corr_trail_10,-0.022183543749234123,-0.04243424749624376,-0.008494457544975593,False
cl1s,corr_trail_20,-0.030223439081349363,-0.020639169912030044,-0.0880077264823324,False
cl1s,corr_fwd_1,0.12067266109064188,0.14872292360185158,0.03357257994095529,False
cl1s,mean_pnl_next_day,0.0037128716820977532,0.005373568293168088,0.002064037280874376,False
cl1s,mean_pnl_h,0.023790310523608083,0.024715971913539993,0.023647225137742228,False
cl1s,hit_rate_h,0.7063106796116505,0.6721311475409836,0.7336244541484717,False
ho1s,corr_trail_1,-0.11425438714808804,-0.09658285775602304,-0.1452924590413097,False
ho1s,corr_trail_5,-0.017783208946404092,0.014499343653712934,-0.06488097500731844,False
ho1s,corr_trail_10,-0.00039320423985244853,0.0059270888714822445,-0.018499322142508736,False
ho1s,corr_trail_20,-0.03599110711455029,0.04334968696916945,-0.13851702858369816,False
ho1s,corr_fwd_1,0.03567413975346999,0.04920666018549861,0.010071053153384813,False
ho1s,mean_pnl_next_day,0.00041805598818948924,0.0004559436601310517,0.0003815039583827175,False
ho1s,mean_pnl_h,0.00266675638420612,0.003841181529554056,0.0015800534883386487,False
ho1s,hit_rate_h,0.6666666666666666,0.6774193548387096,0.65625,False
rb1s,corr_trail_1,-0.10252969086023336,-0.0875747636322581,-0.14352470108934995,False
rb1s,corr_trail_5,-0.05638650853864506,-0.023443496591730617,-0.12518240500595518,False
rb1s,corr_trail_10,0.07045388194323139,0.06346144123609733,0.10709283955776214,False
rb1s,corr_trail_20,0.004392735904768639,0.047850320049899996,-0.08789444793835444,False
rb1s,corr_fwd_1,0.06544092499473073,0.04066797790261782,0.12727925476090152,False
rb1s,mean_pnl_next_day,0.002651557131382019,0.0018603772854538124,0.003353029688073896,False
rb1s,mean_pnl_h,-0.00905241603591377,-0.03029156315788318,0.012116740236334066,False
rb1s,hit_rate_h,0.5032362459546925,0.46381578947368424,0.5427631578947368,False
ng1s,corr_trail_1,-0.04003421848870905,-0.052833449399855806,-0.012851333882541614,False
ng1s,corr_trail_5,0.0200785853598412,-0.018856710337035627,0.06615728411645544,False
ng1s,corr_trail_10,-0.008028341924470323,0.018013942510497274,0.004280680544098435,False
ng1s,corr_trail_20,-0.029553968124981723,-0.0408567510794708,0.008554759742517069,False
ng1s,corr_fwd_1,0.09328096152633848,0.037698608255929245,0.152162180971688,False
ng1s,mean_pnl_next_day,0.0014708808943216826,0.0005474190769636703,0.0023990420116615533,False
ng1s,mean_pnl_h,0.006803623872762113,0.002159812754515813,0.01167123840787559,False
